Equipment_ID,Equipment_Type,Date,Equipment_Type_enc,Shift_enc,Road_Condition_enc,Operator_Experience_Yr,Engine_Temp_C,Oil_Pressure_bar,Vibration_mms,Fuel_Consumption_Lhr,Tyre_Pressure_PSI,Coolant_Level,Battery_Voltage_V,Hydraulic_Pressure_bar,Exhaust_Temp_C,RPM,Engine_Temp_C_Lower_Limit,Engine_Temp_C_Upper_Limit,Oil_Pressure_bar_Lower_Limit,Oil_Pressure_bar_Upper_Limit,Vibration_mms_Lower_Limit,Vibration_mms_Upper_Limit,Fuel_Consumption_Lhr_Lower_Limit,Fuel_Consumption_Lhr_Upper_Limit,Tyre_Pressure_PSI_Lower_Limit,Tyre_Pressure_PSI_Upper_Limit,Coolant_Level_Lower_Limit,Coolant_Level_Upper_Limit,Battery_Voltage_V_Lower_Limit,Battery_Voltage_V_Upper_Limit,Hydraulic_Pressure_bar_Lower_Limit,Hydraulic_Pressure_bar_Upper_Limit,Exhaust_Temp_C_Lower_Limit,Exhaust_Temp_C_Upper_Limit,RPM_Lower_Limit,RPM_Upper_Limit,Engine_Temp_C_Status_enc,Oil_Pressure_bar_Status_enc,Vibration_mms_Status_enc,Fuel_Consumption_Lhr_Status_enc,Tyre_Pressure_PSI_Status_enc,Coolant_Level_Status_enc,Battery_Voltage_V_Status_enc,Hydraulic_Pressure_bar_Status_enc,Exhaust_Temp_C_Status_enc,RPM_Status_enc,Operating_Hours,Load_Cycles_per_Day,Temp_Oil_Ratio,Vib_RPM_Ratio,Health_Score,High_Risk,Year,Month,Day_of_Week,Maintenance_Type_enc,PM_Interval_Hours,Next_PM_Due_Hours,PM_Status_enc,Maintenance_Cost_INR,Estimated_Downtime_Hrs,Last_Maintenance_Type_enc,Days_Since_Last_Maintenance,Maintenance_Team_enc,Engine_Condition_enc,Tyre_Condition_enc,Hydraulic_Condition_enc,Brake_Condition_enc,Electrical_Condition_enc,Fuel_System_Condition_enc,Transmission_Condition_enc,Cooling_System_Condition_enc,Engine_Replacement_Needed_enc,Tyre_Replacement_Needed_enc,Hydraulic_Replacement_Needed_enc,Brake_Replacement_Needed_enc,Electrical_Replacement_Needed_enc,Engine_Life_Remaining_pct,Tyre_Life_Remaining_pct,Hydraulic_Life_Remaining_pct,Battery_Life_Remaining_pct,Brake_Life_Remaining_pct,Failure_Type,Failure_Type_enc,Failure_Component,Failure_Component_enc,Maintenance_Priority,Maintenance_Priority_enc,Spare_Parts_Required,Prescriptive_Action,Days_to_Next_Failure,Failure
HEMM-D003,Dumper,2023-11-19,2,1,1,9,69.8,5.01,1.75,48.6,84.7,0.85,24.5,182.8,307.5,1779.0,60,105,3.0,6.0,0.5,4.5,20,55,70,95,0.6,1.0,22,27,150,220,250,420,1400,2200,0,0,0,0,0,0,0,0,0,0,11160,67,13.93,0.9837,100.0,0,2023,11,6,3,250,90,3,17223,2.4,2,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.0,5.0,5.0,90.7,65.0,None,6,None,6,Medium,3,No Parts Required,Continue normal operation. Monitor sensors.,119,0
HEMM-L001,Wheel Loader,2022-05-13,6,0,1,14,81.1,4.46,1.67,47.8,81.8,0.84,24.7,179.2,275.7,1939.0,60,105,3.0,6.0,0.5,4.5,20,55,70,95,0.6,1.0,22,27,150,220,250,420,1400,2200,0,0,0,0,0,0,0,0,0,0,3319,17,18.18,0.8613,99.7,0,2022,5,4,0,250,181,3,5679,0.2,3,52,3,0,0,0,0,0,0,0,0,0,0,0,0,0,72.3,88.7,66.8,91.5,66.6,None,6,None,6,Low,2,No Parts Required,Continue normal operation. Monitor sensors.,128,0
HEMM-G001,Grader,2023-05-18,4,0,2,15,70.7,4.01,1.73,43.8,88.2,0.94,24.3,193.1,320.4,1868.0,60,105,3.0,6.0,0.5,4.5,20,55,70,95,0.6,1.0,22,27,150,220,250,420,1400,2200,0,0,0,0,0,0,0,0,0,0,1087,91,17.63,0.9261,97.6,0,2023,5,3,0,300,113,3,6827,0.7,2,110,1,0,0,0,0,0,0,0,0,0,0,0,0,0,90.9,80.2,89.1,90.0,65.4,None,6,None,6,Low,2,No Parts Required,Continue normal operation. Monitor sensors.,129,0
HEMM-D004,Dumper,2021-05-05,2,0,1,11,82.5,4.39,1.75,47.6,86.3,0.86,24.0,167.9,343.2,1879.0,60,105,3.0,6.0,0.5,4.5,20,55,70,95,0.6,1.0,22,27,150,220,250,420,1400,2200,0,0,0,0,0,0,0,0,0,0,1990,36,18.79,0.9313,99.4,0,2021,5,2,0,250,10,1,4278,1.0,1,87,3,0,0,0,0,0,0,0,0,0,0,0,0,0,83.4,85.7,80.1,88.9,65.0,None,6,None,6,Low,2,No Parts Required,Perform scheduled PM now. PM interval: 250 hrs.,173,0
HEMM-DR02,Drill Rig,2021-10-15,1,0,1,6,79.4,4.5,1.16,46.9,80.8,0.78,24.9,184.1,308.7,1718.0,60,105,3.0,6.0,0.5,4.5,20,55,70,95,0.6,1.0,22,27,150,220,250,420,1400,2200,0,0,0,0,0,0,0,0,0,0,4763,64,17.64,0.6752,99.5,0,2021,10,4,0,150,37,2,2053,0.8,1,174,1,0,0,0,0,0,0,0,0,0,0,0,0,0,60.3,39.0,52.4,92.2,76.8,None,6,None,6,Low,2,No Parts Required,Plan PM in next 37 hours.,36,0
HEMM-D003,Dumper,2023-06-27,2,2,2,4,86.9,3.92,1.85,42.4,81.1,0.79,23.7,180.8,341.2,1824.0,60,105,3.0,6.0,0.5,4.5,20,55,70,95,0.6,1.0,22,27,150,220,250,420,1400,2200,0,0,0,0,0,0,0,0,0,0,1028,88,22.17,1.0143,95.8,0,2023,6,1,4,250,222,3,10615,5.9,1,103,3,0,0,0,0,0,0,0,0,0,0,0,0,0,91.4,81.9,89.7,87.8,63.0,None,6,None,6,Low,2,No Parts Required,Continue normal operation. Monitor sensors.,115,0
HEMM-D003,Dumper,2022-04-30,2,1,1,14,79.3,4.41,2.12,45.4,85.4,0.78,24.4,177.0,319.9,1732.0,60,105,3.0,6.0,0.5,4.5,20,55,70,95,0.6,1.0,22,27,150,220,250,420,1400,2200,0,0,0,0,0,0,0,0,0,0,8156,66,17.98,1.224,99.2,0,2022,4,5,3,250,94,3,23848,7.9,1,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32.0,5.0,18.4,90.4,57.6,None,6,None,6,Medium,3,No Parts Required,Continue normal operation. Monitor sensors.,90,0
HEMM-D002,Dumper,2021-12-04,2,0,0,1,84.6,4.72,2.29,32.5,85.0,0.85,24.1,179.5,268.7,1914.0,60,105,3.0,6.0,0.5,4.5,20,55,70,95,0.6,1.0,22,27,150,220,250,420,1400,2200,0,0,0,0,0,0,0,0,0,0,6596,38,17.92,1.1964,99.1,0,2021,12,5,0,250,154,3,4787,0.7,2,31,2,0,0,0,0,0,0,0,0,0,0,0,0,0,45.0,49.9,34.0,89.3,54.2,None,6,None,6,Low,2,No Parts Required,Continue normal operation. Monitor sensors.,87,0
HEMM-SC01,Scraper,2023-09-24,5,1,1,7,86.8,4.51,2.04,34.1,82.1,0.91,24.7,175.7,357.2,1920.0,60,105,3.0,6.0,0.5,4.5,20,55,70,95,0.6,1.0,22,27,150,220,250,420,1400,2200,0,0,0,0,0,0,0,0,0,0,5061,32,19.25,1.0625,99.0,0,2023,9,6,0,300,39,2,4276,0.7,2,176,3,0,0,0,0,0,0,0,0,0,0,0,0,0,57.8,67.6,49.4,91.5,59.2,None,6,None,6,Low,2,No Parts Required,Plan PM in next 39 hours.,173,0
HEMM-SC01,Scraper,2021-05-05,5,2,2,11,99.5,4.46,2.08,33.6,81.1,0.83,24.7,169.6,293.0,1744.0,60,105,3.0,6.0,0.5,4.5,20,55,70,95,0.6,1.0,22,27,150,220,250,420,1400,2200,0,0,0,0,0,0,0,0,0,0,1136,11,22.31,1.1927,92.0,0,2021,5,2,0,300,64,3,3273,0.5,3,148,3,0,0,0,0,0,0,0,0,0,0,0,0,0,90.5,97.5,88.6,91.5,58.4,None,6,None,6,Low,2,No Parts Required,Continue normal operation. Monitor sensors.,57,0
HEMM-L002,Wheel Loader,2021-11-19,6,1,1,17,85.35,4.64,4.5,42.9,85.0,0.85,25.2,191.8,310.6,1843.0,60,105,3.0,6.0,0.5,4.5,20,55,70,95,0.6,1.0,22,27,150,220,250,420,1400,2200,0,0,1,0,0,0,0,0,0,0,1512,113,18.39,3.1959,88.2,1,2021,11,4,1,250,238,0,106443,19.6,0,140,2,0,0,0,2,0,0,0,0,0,0,0,2,0,87.4,65.8,84.9,93.3,5.0,Brake Failure,0,Brakes,0,Critical,0,Brake Pads/Disc,IMMEDIATE ACTION: Stop machine. Replace Brakes. Contact maintenance team.,1,1
HEMM-G002,Grader,2021-09-03,4,2,1,8,95.8,4.46,1.81,46.2,82.9,0.98,25.3,186.0,307.1,1936.0,60,105,3.0,6.0,0.5,4.5,20,55,70,95,0.6,1.0,22,27,150,220,250,420,1400,2200,0,0,0,0,0,0,0,0,0,0,9685,81,21.48,0.9349,94.4,0,2021,9,4,3,300,215,3,21029,3.8,3,36,3,0,0,0,0,0,0,0,0,0,0,0,0,0,19.3,5.0,5.0,93.7,63.8,None,6,None,6,Medium,3,No Parts Required,Continue normal operation. Monitor sensors.,114,0
HEMM-DR01,Drill Rig,2023-12-07,1,0,2,9,76.5,4.44,2.05,40.6,84.8,0.9,23.9,171.7,313.9,1824.0,60,105,3.0,6.0,0.5,4.5,20,55,70,95,0.6,1.0,22,27,150,220,250,420,1400,2200,0,0,0,0,0,0,0,0,0,0,3546,90,17.23,1.1239,99.6,0,2023,12,3,4,150,54,3,9674,2.6,0,83,3,0,0,0,0,0,0,0,0,0,0,0,0,0,70.4,36.2,64.5,88.5,59.0,None,6,None,6,Low,2,No Parts Required,Continue normal operation. Monitor sensors.,147,0
HEMM-B001,Dozer,2023-03-22,0,1,1,10,101.4,4.29,4.5,35.2,70.0,0.86,24.8,192.1,324.1,1805.0,60,105,3.0,6.0,0.5,4.5,20,55,70,95,0.6,1.0,22,27,150,220,250,420,1400,2200,0,0,1,0,-1,0,0,0,0,0,7691,45,23.64,3.6177,68.5,1,2023,3,2,1,250,59,0,74312,36.4,2,55,3,1,2,0,1,0,0,0,0,1,2,0,1,0,35.9,30.8,23.1,91.9,5.0,Tyre Burst,8,Tyres,8,Critical,0,Tyre Set,IMMEDIATE ACTION: Stop machine. Replace Tyres. Contact maintenance team.,1,1
