Equipment_ID,Equipment_Type,Failure_Probability_%,Days_to_Failure,Alert_Level,Component,Problem_Detected,Recommended_Action,Issue_Severity
HEMM-E002,Grader,0.6,101,OK,Transmission,Poor condition,Inspect gearbox and clutch,HIGH
HEMM-E002,Grader,0.6,101,OK,Maintenance,153 days since last PM,SCHEDULE PREVENTIVE MAINTENANCE IMMEDIATELY,HIGH
HEMM-E002,Grader,0.6,101,OK,Electrical,Poor condition,Inspect and service electrical system,MEDIUM
HEMM-E002,Grader,0.6,101,OK,Cooling System,Poor condition,Service radiator and coolant system,MEDIUM
HEMM-L002,Scraper,99.0,3,CRITICAL,Brakes,Life < 10%,REPLACE BRAKE PADS IMMEDIATELY,CRITICAL
HEMM-L002,Scraper,99.0,3,CRITICAL,Drivetrain,Vibration above normal,"Inspect bearings, mounts, driveshaft",HIGH
HEMM-L002,Scraper,99.0,3,CRITICAL,Fuel System,Poor condition,Service fuel filters and injectors,HIGH
HEMM-L002,Scraper,99.0,3,CRITICAL,Transmission,Poor condition,Inspect gearbox and clutch,HIGH
HEMM-L002,Scraper,99.0,3,CRITICAL,Maintenance,158 days since last PM,SCHEDULE PREVENTIVE MAINTENANCE IMMEDIATELY,HIGH
HEMM-L002,Scraper,99.0,3,CRITICAL,Electrical,Poor condition,Inspect and service electrical system,MEDIUM
HEMM-L002,Scraper,99.0,3,CRITICAL,Cooling System,Poor condition,Service radiator and coolant system,MEDIUM
HEMM-D001,Dozer,59.0,69,HIGH,Brakes,Life < 10%,REPLACE BRAKE PADS IMMEDIATELY,CRITICAL
HEMM-D001,Dozer,59.0,69,HIGH,Brakes,Replacement flag set,REPLACE BRAKE SYSTEM,CRITICAL
HEMM-D001,Dozer,59.0,69,HIGH,Brakes,Poor condition,Inspect and service brake system,HIGH
HEMM-D001,Dozer,59.0,69,HIGH,Drivetrain,Vibration above normal,"Inspect bearings, mounts, driveshaft",HIGH
HEMM-D001,Dozer,59.0,69,HIGH,Fuel System,Poor condition,Service fuel filters and injectors,HIGH
HEMM-D001,Dozer,59.0,69,HIGH,Transmission,Poor condition,Inspect gearbox and clutch,HIGH
HEMM-D001,Dozer,59.0,69,HIGH,Maintenance,57 days since last PM,SCHEDULE PREVENTIVE MAINTENANCE IMMEDIATELY,HIGH
HEMM-D001,Dozer,59.0,69,HIGH,Electrical,Poor condition,Inspect and service electrical system,MEDIUM
HEMM-D001,Dozer,59.0,69,HIGH,Cooling System,Poor condition,Service radiator and coolant system,MEDIUM
HEMM-D003,Dozer,0.8,115,OK,Engine,Life < 15%,REPLACE ENGINE IMMEDIATELY,CRITICAL
HEMM-D003,Dozer,0.8,115,OK,Hydraulics,Life < 15%,REPLACE HYDRAULIC SYSTEM,CRITICAL
HEMM-D003,Dozer,0.8,115,OK,Tyres,Life < 15%,REPLACE ALL TYRES IMMEDIATELY,CRITICAL
HEMM-D003,Dozer,0.8,115,OK,Brakes,Poor condition,Inspect and service brake system,HIGH
HEMM-D003,Dozer,0.8,115,OK,Fuel System,Poor condition,Service fuel filters and injectors,HIGH
HEMM-D003,Dozer,0.8,115,OK,Transmission,Poor condition,Inspect gearbox and clutch,HIGH
HEMM-D003,Dozer,0.8,115,OK,Electrical,Poor condition,Inspect and service electrical system,MEDIUM
HEMM-D003,Dozer,0.8,115,OK,Cooling System,Poor condition,Service radiator and coolant system,MEDIUM
HEMM-L001,Scraper,0.4,114,OK,Brakes,Poor condition,Inspect and service brake system,HIGH
HEMM-L001,Scraper,0.4,114,OK,Fuel System,Poor condition,Service fuel filters and injectors,HIGH
HEMM-L001,Scraper,0.4,114,OK,Transmission,Poor condition,Inspect gearbox and clutch,HIGH
HEMM-L001,Scraper,0.4,114,OK,Maintenance,52 days since last PM,SCHEDULE PREVENTIVE MAINTENANCE IMMEDIATELY,HIGH
HEMM-L001,Scraper,0.4,114,OK,Electrical,Poor condition,Inspect and service electrical system,MEDIUM
HEMM-L001,Scraper,0.4,114,OK,Cooling System,Poor condition,Service radiator and coolant system,MEDIUM
HEMM-G001,Drill Rig,0.0,110,OK,Brakes,Poor condition,Inspect and service brake system,HIGH
HEMM-G001,Drill Rig,0.0,110,OK,Fuel System,Poor condition,Service fuel filters and injectors,HIGH
HEMM-G001,Drill Rig,0.0,110,OK,Transmission,Poor condition,Inspect gearbox and clutch,HIGH
HEMM-G001,Drill Rig,0.0,110,OK,Maintenance,110 days since last PM,SCHEDULE PREVENTIVE MAINTENANCE IMMEDIATELY,HIGH
HEMM-G001,Drill Rig,0.0,110,OK,Electrical,Poor condition,Inspect and service electrical system,MEDIUM
HEMM-G001,Drill Rig,0.0,110,OK,Cooling System,Poor condition,Service radiator and coolant system,MEDIUM
HEMM-D004,Dozer,0.6,113,OK,Brakes,Poor condition,Inspect and service brake system,HIGH
HEMM-D004,Dozer,0.6,113,OK,Fuel System,Poor condition,Service fuel filters and injectors,HIGH
HEMM-D004,Dozer,0.6,113,OK,Transmission,Poor condition,Inspect gearbox and clutch,HIGH
HEMM-D004,Dozer,0.6,113,OK,Maintenance,87 days since last PM,SCHEDULE PREVENTIVE MAINTENANCE IMMEDIATELY,HIGH
HEMM-D004,Dozer,0.6,113,OK,Electrical,Poor condition,Inspect and service electrical system,MEDIUM
HEMM-D004,Dozer,0.6,113,OK,Cooling System,Poor condition,Service radiator and coolant system,MEDIUM
HEMM-DR02,Dumper,0.6,78,OK,Brakes,Poor condition,Inspect and service brake system,HIGH
HEMM-DR02,Dumper,0.6,78,OK,Fuel System,Poor condition,Service fuel filters and injectors,HIGH
HEMM-DR02,Dumper,0.6,78,OK,Transmission,Poor condition,Inspect gearbox and clutch,HIGH
HEMM-DR02,Dumper,0.6,78,OK,Maintenance,174 days since last PM,SCHEDULE PREVENTIVE MAINTENANCE IMMEDIATELY,HIGH
HEMM-DR02,Dumper,0.6,78,OK,Electrical,Poor condition,Inspect and service electrical system,MEDIUM
HEMM-DR02,Dumper,0.6,78,OK,Cooling System,Poor condition,Service radiator and coolant system,MEDIUM
HEMM-D003,Dozer,0.0,104,OK,Brakes,Poor condition,Inspect and service brake system,HIGH
HEMM-D003,Dozer,0.0,104,OK,Fuel System,Poor condition,Service fuel filters and injectors,HIGH
HEMM-D003,Dozer,0.0,104,OK,Transmission,Poor condition,Inspect gearbox and clutch,HIGH
HEMM-D003,Dozer,0.0,104,OK,Maintenance,103 days since last PM,SCHEDULE PREVENTIVE MAINTENANCE IMMEDIATELY,HIGH
HEMM-D003,Dozer,0.0,104,OK,Electrical,Poor condition,Inspect and service electrical system,MEDIUM
HEMM-D003,Dozer,0.0,104,OK,Cooling System,Poor condition,Service radiator and coolant system,MEDIUM
HEMM-D003,Dozer,0.0,106,OK,Tyres,Life < 15%,REPLACE ALL TYRES IMMEDIATELY,CRITICAL
HEMM-D003,Dozer,0.0,106,OK,Brakes,Poor condition,Inspect and service brake system,HIGH
HEMM-D003,Dozer,0.0,106,OK,Hydraulics,Life < 30%,Schedule hydraulic service,HIGH
HEMM-D003,Dozer,0.0,106,OK,Fuel System,Poor condition,Service fuel filters and injectors,HIGH
HEMM-D003,Dozer,0.0,106,OK,Transmission,Poor condition,Inspect gearbox and clutch,HIGH
HEMM-D003,Dozer,0.0,106,OK,Maintenance,84 days since last PM,SCHEDULE PREVENTIVE MAINTENANCE IMMEDIATELY,HIGH
HEMM-D003,Dozer,0.0,106,OK,Electrical,Poor condition,Inspect and service electrical system,MEDIUM
HEMM-D003,Dozer,0.0,106,OK,Cooling System,Poor condition,Service radiator and coolant system,MEDIUM
HEMM-D002,Dozer,0.3,96,OK,Brakes,Poor condition,Inspect and service brake system,HIGH
HEMM-D002,Dozer,0.3,96,OK,Fuel System,Poor condition,Service fuel filters and injectors,HIGH
HEMM-D002,Dozer,0.3,96,OK,Transmission,Poor condition,Inspect gearbox and clutch,HIGH
HEMM-D002,Dozer,0.3,96,OK,Electrical,Poor condition,Inspect and service electrical system,MEDIUM
HEMM-D002,Dozer,0.3,96,OK,Cooling System,Poor condition,Service radiator and coolant system,MEDIUM
HEMM-D002,Dozer,0.3,96,OK,Maintenance,31 days since last PM,Schedule preventive maintenance this week,MEDIUM
HEMM-SC01,Wheel Loader,0.5,129,OK,Brakes,Poor condition,Inspect and service brake system,HIGH
HEMM-SC01,Wheel Loader,0.5,129,OK,Fuel System,Poor condition,Service fuel filters and injectors,HIGH
HEMM-SC01,Wheel Loader,0.5,129,OK,Transmission,Poor condition,Inspect gearbox and clutch,HIGH
HEMM-SC01,Wheel Loader,0.5,129,OK,Maintenance,176 days since last PM,SCHEDULE PREVENTIVE MAINTENANCE IMMEDIATELY,HIGH
HEMM-SC01,Wheel Loader,0.5,129,OK,Electrical,Poor condition,Inspect and service electrical system,MEDIUM
HEMM-SC01,Wheel Loader,0.5,129,OK,Cooling System,Poor condition,Service radiator and coolant system,MEDIUM
HEMM-SC01,Wheel Loader,1.4,80,OK,Brakes,Poor condition,Inspect and service brake system,HIGH
HEMM-SC01,Wheel Loader,1.4,80,OK,Fuel System,Poor condition,Service fuel filters and injectors,HIGH
HEMM-SC01,Wheel Loader,1.4,80,OK,Transmission,Poor condition,Inspect gearbox and clutch,HIGH
HEMM-SC01,Wheel Loader,1.4,80,OK,Maintenance,148 days since last PM,SCHEDULE PREVENTIVE MAINTENANCE IMMEDIATELY,HIGH
HEMM-SC01,Wheel Loader,1.4,80,OK,Electrical,Poor condition,Inspect and service electrical system,MEDIUM
HEMM-SC01,Wheel Loader,1.4,80,OK,Cooling System,Poor condition,Service radiator and coolant system,MEDIUM
HEMM-L002,Scraper,99.2,3,CRITICAL,Brakes,Life < 10%,REPLACE BRAKE PADS IMMEDIATELY,CRITICAL
HEMM-L002,Scraper,99.2,3,CRITICAL,Drivetrain,Vibration above normal,"Inspect bearings, mounts, driveshaft",HIGH
HEMM-L002,Scraper,99.2,3,CRITICAL,Fuel System,Poor condition,Service fuel filters and injectors,HIGH
HEMM-L002,Scraper,99.2,3,CRITICAL,Transmission,Poor condition,Inspect gearbox and clutch,HIGH
HEMM-L002,Scraper,99.2,3,CRITICAL,Maintenance,140 days since last PM,SCHEDULE PREVENTIVE MAINTENANCE IMMEDIATELY,HIGH
HEMM-L002,Scraper,99.2,3,CRITICAL,Electrical,Poor condition,Inspect and service electrical system,MEDIUM
HEMM-L002,Scraper,99.2,3,CRITICAL,Cooling System,Poor condition,Service radiator and coolant system,MEDIUM
HEMM-G002,Drill Rig,0.2,111,OK,Hydraulics,Life < 15%,REPLACE HYDRAULIC SYSTEM,CRITICAL
