Equipment_ID,Equipment_Type,Date,Equipment_Type_enc,Shift_enc,Road_Condition_enc,Operator_Experience_Yr,Engine_Temp_C,Oil_Pressure_bar,Vibration_mms,Fuel_Consumption_Lhr,Tyre_Pressure_PSI,Coolant_Level,Battery_Voltage_V,Hydraulic_Pressure_bar,Exhaust_Temp_C,RPM,Operating_Hours,Load_Cycles_per_Day,Temp_Oil_Ratio,Vib_RPM_Ratio,Health_Score,High_Risk,Year,Month,Day_of_Week,Failure_Type,Failure_Component,Maintenance_Priority,Days_to_Next_Failure,Failure
HEMM-SC01,Scraper,2022-03-26,5,2,1,11,82.3,0.5,1.94,40.0,89.5,0.84,24.6,179.8,286.5,1693.0,1116,34,164.6,1.1459,80.0,1,2022,3,5,None,None,Low,110,0
HEMM-G002,Grader,2022-07-03,4,1,2,7,77.1,4.32,1.97,44.2,76.3,0.92,23.3,194.8,363.2,1923.0,9492,117,17.85,1.0244,96.8,0,2022,7,6,None,None,Medium,152,0
HEMM-L001,Wheel Loader,2023-03-22,6,2,1,15,90.8,4.25,2.14,37.9,86.9,0.95,24.3,180.3,296.1,1879.0,2540,38,21.36,1.1389,95.4,0,2023,3,2,None,None,Low,176,0
HEMM-SC01,Scraper,2022-06-23,5,2,2,19,88.5,4.86,2.24,34.4,80.9,0.99,24.7,155.3,329.6,1893.0,7219,119,18.21,1.1833,97.1,0,2022,6,3,None,None,Low,71,0
HEMM-E003,Excavator,2021-10-11,3,2,1,16,91.5,4.01,2.09,44.5,75.6,0.77,24.6,165.6,343.8,1930.0,1689,101,22.82,1.0829,91.5,0,2021,10,0,None,None,Low,160,0
HEMM-D005,Dumper,2021-11-24,2,2,0,14,78.1,4.39,2.43,42.3,150.0,0.84,24.0,169.1,262.4,1720.0,9971,13,17.79,1.4128,98.2,0,2021,11,2,None,None,Medium,97,0
HEMM-DR02,Drill Rig,2023-12-20,1,0,2,18,96.3,4.05,2.31,64.1,83.7,0.89,25.0,177.5,304.9,1711.0,388,92,23.78,1.3501,91.2,0,2023,12,2,Fuel System Failure,Fuel System,Critical,4,1
HEMM-D004,Dumper,2022-08-25,2,0,2,6,78.5,4.44,2.35,44.5,76.6,0.92,24.3,185.0,375.7,1797.0,7633,5,17.68,1.3077,96.5,0,2022,8,3,None,None,Low,78,0
HEMM-B001,Dozer,2023-10-23,0,1,2,17,70.7,4.4,2.13,40.5,81.5,0.89,24.7,183.4,321.0,1778.0,1943,116,16.07,1.198,98.9,0,2023,10,0,None,None,Low,96,0
HEMM-L002,Wheel Loader,2022-02-12,6,1,2,12,81.2,4.59,1.5,38.9,83.5,0.89,24.6,171.9,341.1,1805.0,2846,74,17.69,0.831,100.0,0,2022,2,5,None,None,Low,46,0
HEMM-B003,Dozer,2023-09-28,0,1,0,4,88.6,5.21,1.73,29.5,84.6,0.77,10.0,174.4,317.4,1644.0,6147,117,17.01,1.0523,98.2,0,2023,9,3,None,None,Low,115,0
HEMM-E003,Excavator,2021-06-11,3,1,2,16,101.0,4.13,1.82,35.9,84.4,0.76,24.7,161.2,339.3,1749.0,1333,102,24.46,1.0406,90.2,0,2021,6,4,None,None,High,89,0
HEMM-D005,Dumper,2023-09-01,2,2,2,6,89.4,3.99,2.96,47.2,87.5,0.99,24.9,159.7,323.7,1734.0,4542,72,22.41,1.707,92.4,0,2023,9,4,None,None,Low,121,0
HEMM-E002,Excavator,2022-02-16,3,2,2,10,91.8,4.16,2.34,46.9,79.3,0.76,24.4,188.3,313.6,1780.0,6737,90,22.07,1.3146,92.8,0,2022,2,2,None,None,Low,118,0
HEMM-L002,Wheel Loader,2023-07-14,6,1,0,8,74.9,4.87,5.54,43.2,75.9,0.84,24.3,177.6,357.4,1991.0,3881,13,15.38,2.7825,86.9,1,2023,7,4,Brake Failure,Brakes,Critical,3,1
HEMM-D001,Dumper,2021-05-26,2,2,1,2,77.5,4.33,20.0,38.0,85.0,0.88,25.0,195.4,326.9,1893.0,3950,13,17.9,10.5652,45.2,1,2021,5,2,None,None,Low,113,0
HEMM-D003,Dumper,2023-11-19,2,1,1,9,69.8,5.01,1.75,48.6,84.7,0.85,24.5,182.8,307.5,1779.0,11160,67,13.93,0.9837,100.0,0,2023,11,6,None,None,Medium,119,0
HEMM-L001,Wheel Loader,2022-05-13,6,0,1,14,81.1,4.46,1.67,47.8,81.8,0.84,24.7,179.2,275.7,1939.0,3319,17,18.18,0.8613,99.7,0,2022,5,4,None,None,Low,128,0
HEMM-G001,Grader,2023-05-18,4,0,2,15,70.7,4.01,1.73,43.8,88.2,0.94,24.3,193.1,320.4,1868.0,1087,91,17.63,0.9261,97.6,0,2023,5,3,None,None,Low,129,0
HEMM-D004,Dumper,2021-05-05,2,0,1,11,82.5,4.39,1.75,47.6,86.3,0.86,24.0,167.9,343.2,1879.0,1990,36,18.79,0.9313,99.4,0,2021,5,2,None,None,Low,173,0
HEMM-DR02,Drill Rig,2021-10-15,1,0,1,6,79.4,4.5,1.16,46.9,80.8,0.78,24.9,184.1,308.7,1718.0,4763,64,17.64,0.6752,99.5,0,2021,10,4,None,None,Low,36,0
HEMM-D003,Dumper,2023-06-27,2,2,2,4,86.9,3.92,1.85,42.4,81.1,0.79,23.7,180.8,341.2,1824.0,1028,88,22.17,1.0143,95.8,0,2023,6,1,None,None,Low,115,0
HEMM-D003,Dumper,2022-04-30,2,1,1,14,79.3,4.41,2.12,45.4,85.4,0.78,24.4,177.0,319.9,1732.0,8156,66,17.98,1.224,99.2,0,2022,4,5,None,None,Medium,90,0
HEMM-D002,Dumper,2021-12-04,2,0,0,1,84.6,4.72,2.29,32.5,85.0,0.85,24.1,179.5,268.7,1914.0,6596,38,17.92,1.1964,99.1,0,2021,12,5,None,None,Low,87,0
HEMM-SC01,Scraper,2023-09-24,5,1,1,7,86.8,4.51,2.04,34.1,82.1,0.91,24.7,175.7,357.2,1920.0,5061,32,19.25,1.0625,99.0,0,2023,9,6,None,None,Low,173,0
HEMM-SC01,Scraper,2021-05-05,5,2,2,11,99.5,4.46,2.08,33.6,81.1,0.83,24.7,169.6,293.0,1744.0,1136,11,22.31,1.1927,92.0,0,2021,5,2,None,None,Low,57,0
HEMM-L002,Wheel Loader,2021-11-19,6,1,1,17,85.35,4.64,5.89,42.9,85.0,0.85,25.2,191.8,310.6,1843.0,1512,113,18.39,3.1959,88.2,1,2021,11,4,Brake Failure,Brakes,Critical,1,1
HEMM-G002,Grader,2021-09-03,4,2,1,8,95.8,4.46,1.81,46.2,82.9,0.98,25.3,186.0,307.1,1936.0,9685,81,21.48,0.9349,94.4,0,2021,9,4,None,None,Medium,114,0
HEMM-DR01,Drill Rig,2023-12-07,1,0,2,9,76.5,4.44,2.05,40.6,84.8,0.9,23.9,171.7,313.9,1824.0,3546,90,17.23,1.1239,99.6,0,2023,12,3,None,None,Low,147,0
HEMM-B001,Dozer,2023-03-22,0,1,1,10,101.4,4.29,6.53,35.2,60.4,0.86,24.8,192.1,324.1,1805.0,7691,45,23.64,3.6177,68.5,1,2023,3,2,Tyre Burst,Tyres,Critical,1,1
HEMM-SC01,Scraper,2022-03-13,5,2,1,9,92.1,4.45,2.08,27.1,80.1,0.91,25.2,163.0,318.9,1838.0,2370,49,20.7,1.1317,95.2,0,2022,3,6,None,None,Low,82,0
HEMM-G001,Grader,2022-08-07,4,1,0,15,84.7,4.04,1.76,28.9,85.7,0.88,25.7,169.0,352.2,1719.0,9100,95,20.97,1.0239,97.7,0,2022,8,6,None,None,Medium,161,0
HEMM-L002,Wheel Loader,2021-01-17,6,2,1,18,80.9,4.08,1.97,42.8,78.1,0.8,24.8,171.8,308.8,1657.0,5105,89,19.83,1.1889,96.3,0,2021,1,6,None,None,Low,63,0
HEMM-D005,Dumper,2022-06-26,2,1,0,4,83.5,4.35,1.67,34.9,80.9,0.87,24.6,199.7,312.4,1694.0,9264,24,19.2,0.9858,98.8,0,2022,6,6,None,None,Medium,110,0
HEMM-E002,Excavator,2022-12-04,3,1,0,9,91.8,4.25,1.71,40.9,79.8,0.87,23.9,164.8,347.3,1964.0,8480,67,21.6,0.8707,94.5,0,2022,12,6,None,None,Medium,43,0
HEMM-D002,Dumper,2021-07-09,2,2,1,14,83.0,4.85,2.19,36.2,85.6,0.85,24.6,175.1,325.2,1671.0,4733,10,17.11,1.3106,99.4,0,2021,7,4,None,None,Low,46,0
HEMM-D005,Dumper,2022-06-21,2,1,0,15,79.8,4.07,2.67,42.4,82.0,0.77,25.2,203.7,340.3,1756.0,9238,95,19.61,1.5205,95.8,0,2022,6,1,None,None,Medium,112,0
HEMM-D004,Dumper,2021-06-04,2,2,0,5,97.7,3.89,1.55,39.1,85.4,0.81,23.5,179.8,307.7,1674.0,9138,9,25.12,0.9259,90.6,0,2021,6,4,None,None,Medium,141,0
HEMM-D005,Dumper,2023-05-31,2,1,1,2,81.9,4.33,1.67,35.3,72.0,1.0,24.8,177.6,301.8,1742.0,5250,51,18.91,0.9587,95.2,0,2023,5,2,None,None,Low,91,0
HEMM-E002,Excavator,2022-05-27,3,2,2,4,91.0,4.54,2.3,29.7,84.2,0.94,24.2,170.0,325.6,1526.0,5994,104,20.04,1.5072,96.1,0,2022,5,4,None,None,Low,142,0
HEMM-DR01,Drill Rig,2021-11-13,1,1,0,6,99.8,3.58,6.89,38.7,85.1,0.83,24.5,162.7,344.8,1564.0,3100,117,27.88,4.4054,73.3,1,2021,11,5,Transmission Failure,Transmission,Critical,5,1
HEMM-E003,Excavator,2022-07-01,3,1,1,4,69.4,4.83,1.55,40.6,87.8,0.87,23.6,169.7,323.4,1809.0,6467,116,14.37,0.8568,100.0,0,2022,7,4,None,None,Low,105,0
HEMM-E003,Excavator,2022-02-13,3,0,1,12,90.3,4.42,2.23,40.5,85.1,0.96,24.8,174.3,306.4,1874.0,5200,110,20.43,1.19,96.3,0,2022,2,6,None,None,Low,118,0
HEMM-E002,Excavator,2023-03-28,3,0,0,9,86.9,4.39,2.38,36.7,87.2,0.84,23.6,176.5,320.4,1968.0,1337,103,19.79,1.2093,97.4,0,2023,3,1,None,None,Low,174,0
HEMM-L002,Wheel Loader,2023-03-30,6,2,1,18,83.1,4.83,2.36,38.5,78.5,0.98,24.6,165.2,342.9,1834.0,5625,8,17.2,1.2868,97.5,0,2023,3,3,None,None,Low,62,0
HEMM-B001,Dozer,2022-01-01,0,2,2,9,81.7,4.89,2.03,35.6,83.6,0.83,24.9,171.4,321.4,1752.0,826,18,16.71,1.1587,99.9,0,2022,1,5,None,None,Low,39,0
HEMM-B003,Dozer,2023-06-13,0,2,2,17,98.1,4.48,2.03,33.3,78.9,0.9,23.4,211.7,323.6,1543.0,2094,54,21.9,1.3156,92.0,0,2023,6,1,None,None,Low,159,0
HEMM-D002,Dumper,2023-06-13,2,1,2,17,81.9,4.51,1.95,46.5,84.1,0.9,23.9,173.2,286.4,1739.0,9021,92,18.16,1.1213,100.0,0,2023,6,1,None,None,Medium,136,0
HEMM-E002,Excavator,2023-01-16,3,0,2,3,87.2,4.05,2.98,38.6,82.4,0.92,24.9,182.2,328.8,1825.0,11082,47,21.53,1.6329,93.7,0,2023,1,0,None,None,Medium,151,0
HEMM-D004,Dumper,2022-09-08,2,2,0,10,75.9,4.25,1.8,40.1,80.4,0.83,24.0,172.7,288.3,1942.0,11126,57,17.86,0.9269,98.1,0,2022,9,3,None,None,Medium,82,0
HEMM-B002,Dozer,2021-09-18,0,1,2,14,93.6,4.27,2.34,26.4,81.1,0.84,24.8,176.6,353.4,1774.0,11094,53,21.92,1.3191,93.2,0,2021,9,5,None,None,Medium,54,0
HEMM-E001,Excavator,2022-09-09,3,0,0,18,73.0,3.42,1.98,36.8,84.8,0.9,24.0,185.2,304.0,1784.0,206,43,21.35,1.1099,94.6,0,2022,9,4,None,None,High,133,0
HEMM-B003,Dozer,2023-08-11,0,0,2,15,105.6,4.52,2.01,37.9,82.8,0.8,24.4,205.7,297.9,1939.0,11269,32,23.36,1.0366,89.7,0,2023,8,4,None,None,High,142,0
HEMM-E001,Excavator,2021-06-23,3,0,2,17,63.7,5.0,1.17,36.3,80.5,0.97,24.4,185.3,336.7,1667.0,11076,86,12.74,0.7019,99.4,0,2021,6,2,None,None,Medium,153,0
HEMM-E003,Excavator,2022-09-28,3,1,1,7,94.8,3.63,1.69,34.9,92.3,0.83,24.6,189.6,323.5,1972.0,2614,8,26.12,0.857,90.8,0,2022,9,2,None,None,Low,64,0
HEMM-L001,Wheel Loader,2021-05-30,6,0,1,14,88.5,4.83,1.62,39.2,83.0,0.85,24.0,186.2,331.9,1769.0,10518,78,18.32,0.9158,98.2,0,2021,5,6,None,None,Medium,36,0
HEMM-G002,Grader,2023-10-10,4,0,2,8,95.9,3.72,6.38,42.4,84.1,0.91,24.6,190.1,309.9,1401.0,2617,88,25.78,4.5539,77.5,1,2023,10,1,Transmission Failure,Transmission,Critical,1,1
HEMM-E003,Excavator,2021-12-27,3,2,2,17,84.2,3.8,1.78,42.9,81.9,0.95,24.3,179.4,326.2,1629.0,7811,11,22.16,1.0927,96.5,0,2021,12,0,None,None,Low,54,0
HEMM-D004,Dumper,2023-07-24,2,1,2,15,80.0,4.33,1.48,38.5,75.5,0.89,24.8,190.3,329.5,1826.0,11137,72,18.48,0.8105,96.6,0,2023,7,0,None,None,Medium,41,0
HEMM-DR02,Drill Rig,2023-10-31,1,0,1,18,85.35,4.46,2.92,43.9,83.0,0.85,24.3,194.5,327.4,1788.0,7505,119,19.14,1.6331,96.9,0,2023,10,1,None,None,Low,80,0
HEMM-L001,Wheel Loader,2023-07-11,6,0,2,8,86.2,4.41,2.33,37.4,85.0,0.99,25.3,185.2,317.6,1795.0,10647,40,19.55,1.2981,98.0,0,2023,7,1,None,None,Medium,65,0
HEMM-E003,Excavator,2022-07-17,3,0,1,3,76.0,4.01,2.06,39.2,82.9,0.99,24.7,169.5,277.6,1765.0,11890,41,18.95,1.1671,97.4,0,2022,7,6,None,None,Medium,69,0
HEMM-B003,Dozer,2021-06-15,0,1,2,5,84.7,5.21,7.64,47.1,48.7,0.95,24.2,169.1,338.6,1624.0,3988,54,16.26,4.7044,69.8,1,2021,6,1,Tyre Burst,Tyres,Critical,3,1
HEMM-DR01,Drill Rig,2023-04-15,1,0,1,18,94.2,4.77,2.4,33.7,82.2,0.99,24.8,192.9,336.1,1893.0,7833,58,19.75,1.2678,94.2,0,2023,4,5,None,None,Low,54,0
HEMM-DR01,Drill Rig,2023-03-09,1,2,0,1,87.1,4.79,1.89,38.6,80.8,0.9,18.8,160.5,314.4,1836.0,9632,53,18.18,1.0294,98.5,0,2023,3,3,Electrical Fault,Electrical,Critical,5,1
HEMM-G002,Grader,2023-05-09,4,2,1,18,80.3,4.95,1.97,35.7,85.5,0.96,24.5,175.4,311.3,1769.0,10083,119,16.22,1.1136,100.0,0,2023,5,1,None,None,Medium,127,0
HEMM-B001,Dozer,2023-06-12,0,0,2,1,85.6,4.91,1.17,31.6,87.3,0.88,24.7,192.3,336.7,1535.0,6571,48,17.43,0.7622,99.7,0,2023,6,0,None,None,Low,137,0
HEMM-G002,Grader,2021-12-05,4,0,1,5,90.8,4.53,2.43,35.4,87.6,0.87,25.0,183.1,286.4,1624.0,10395,73,20.04,1.4963,95.8,0,2021,12,6,None,None,Medium,162,0
HEMM-D001,Dumper,2021-06-21,2,2,0,14,70.1,4.38,2.18,41.7,75.6,0.98,24.8,170.5,314.5,1856.0,2423,115,16.0,1.1746,96.3,0,2021,6,0,None,None,Low,68,0
HEMM-B001,Dozer,2023-02-16,0,0,0,7,72.7,5.42,1.73,43.8,88.5,0.88,24.2,174.7,307.5,1744.0,7649,46,13.41,0.992,100.0,0,2023,2,3,None,None,Low,32,0
HEMM-G002,Grader,2022-07-24,4,0,1,9,88.7,4.7,1.5,40.9,92.0,0.88,24.7,181.1,285.8,1817.0,1541,65,18.87,0.8255,98.2,0,2022,7,6,None,None,Low,32,0
HEMM-D002,Dumper,2022-12-18,2,1,1,3,85.0,4.28,2.25,39.0,75.9,0.9,24.1,181.6,312.7,1858.0,10878,10,19.86,1.211,95.7,0,2022,12,6,None,None,Medium,58,0
HEMM-E002,Excavator,2021-02-11,3,2,0,5,87.3,4.63,2.26,48.1,81.3,0.84,24.1,188.8,301.0,1716.0,4108,21,18.86,1.317,97.8,0,2021,2,3,None,None,Low,89,0
HEMM-E002,Excavator,2023-08-11,3,2,2,9,84.9,4.52,2.41,38.8,85.5,0.92,25.1,181.3,323.1,1973.0,6243,26,18.78,1.2215,98.8,0,2023,8,4,None,None,Low,109,0
HEMM-D004,Dumper,2021-12-02,2,0,0,4,92.5,4.67,2.16,41.6,84.0,0.92,24.9,193.8,333.0,1783.0,9681,8,19.81,1.2114,95.8,0,2021,12,3,None,None,Medium,136,0
HEMM-G002,Grader,2023-03-24,4,2,2,7,86.2,4.59,1.94,33.9,85.4,0.8,24.4,174.1,300.2,1815.0,1445,80,18.78,1.0689,99.4,0,2023,3,4,None,None,Low,127,0
HEMM-E003,Excavator,2021-07-28,3,2,1,10,90.2,5.37,1.88,39.1,83.0,0.99,25.3,192.1,291.2,1818.0,11410,81,16.8,1.0341,97.4,0,2021,7,2,None,None,Medium,97,0
HEMM-D002,Dumper,2022-12-13,2,2,1,14,88.3,4.93,1.59,38.7,79.2,0.84,24.3,181.3,327.3,1747.0,11038,52,17.91,0.9101,97.2,0,2022,12,1,None,None,Medium,36,0
HEMM-B003,Dozer,2021-01-26,0,0,0,16,94.1,4.32,1.95,31.9,82.4,0.96,25.1,188.3,310.1,1728.0,1929,60,21.78,1.1285,94.6,0,2021,1,1,None,None,Low,56,0
HEMM-DR02,Drill Rig,2021-11-10,1,0,0,6,90.8,3.76,1.77,43.8,78.3,0.94,24.7,177.1,330.0,1972.0,8748,88,24.15,0.8976,91.9,0,2021,11,2,None,None,Medium,56,0
HEMM-SC01,Scraper,2023-09-18,5,0,0,14,87.7,4.68,2.23,40.2,84.6,0.78,25.2,192.5,329.8,1697.0,9907,39,18.74,1.3141,98.0,0,2023,9,0,None,None,Medium,46,0
HEMM-D003,Dumper,2022-07-26,2,0,2,8,84.6,3.93,2.24,30.6,83.3,0.79,23.8,191.5,290.9,1997.0,7813,77,21.53,1.1217,96.4,0,2022,7,1,None,None,Low,93,0
HEMM-B003,Dozer,2021-02-28,0,0,1,11,82.8,4.49,1.93,34.6,91.9,0.82,24.3,187.9,328.5,1703.0,3179,67,18.44,1.1333,100.0,0,2021,2,6,None,None,Low,174,0
HEMM-B001,Dozer,2022-11-29,0,0,0,20,84.6,4.57,1.64,37.9,80.5,0.8,25.1,173.4,340.5,1809.0,11688,117,18.51,0.9066,99.4,0,2022,11,1,None,None,Medium,106,0
HEMM-L002,Wheel Loader,2022-01-27,6,1,0,8,83.6,4.46,2.08,32.7,86.0,0.8,24.8,194.0,338.5,1806.0,11997,57,18.74,1.1517,99.6,0,2022,1,3,None,None,Medium,143,0
HEMM-E003,Excavator,2023-09-03,3,2,1,16,79.8,3.69,6.28,36.3,91.7,0.92,25.6,191.7,318.0,1725.0,7542,106,21.63,3.6406,83.1,1,2023,9,6,Transmission Failure,Transmission,Critical,3,1
HEMM-E003,Excavator,2022-09-20,3,2,2,19,76.7,4.29,2.25,43.6,93.9,0.93,24.5,180.4,322.4,1861.0,6246,65,17.88,1.209,98.2,0,2022,9,1,None,None,Low,122,0
HEMM-DR01,Drill Rig,2022-11-09,1,0,0,15,76.8,3.96,1.85,36.3,83.4,0.99,25.1,177.3,347.7,1876.0,4638,44,19.39,0.9861,97.3,0,2022,11,2,None,None,Low,155,0
HEMM-E002,Excavator,2022-10-09,3,1,1,18,86.8,4.92,2.67,35.7,86.3,0.98,24.5,163.7,308.5,1880.0,11507,28,17.64,1.4202,97.1,0,2022,10,6,None,None,Medium,41,0
HEMM-L001,Wheel Loader,2022-07-21,6,2,0,19,86.4,4.23,1.09,35.6,84.5,0.94,25.3,164.6,292.3,1944.0,8795,81,20.43,0.5607,98.0,0,2022,7,3,None,None,Medium,31,0
HEMM-E002,Excavator,2022-08-30,3,1,1,12,87.6,4.38,1.34,37.7,81.4,0.88,25.0,191.5,285.2,1764.0,3139,43,20.0,0.7596,97.9,0,2022,8,1,None,None,Low,57,0
HEMM-D005,Dumper,2022-07-16,2,1,2,2,76.0,4.82,1.5,43.5,79.2,0.78,24.5,184.8,321.5,1672.0,9266,42,15.77,0.8971,98.9,0,2022,7,5,None,None,Medium,39,0
HEMM-L001,Wheel Loader,2021-07-30,6,1,0,19,77.9,4.67,2.88,31.7,76.8,0.9,23.7,185.0,276.9,1871.0,4858,65,16.68,1.5393,95.3,0,2021,7,4,None,None,Low,85,0
HEMM-E001,Excavator,2021-04-16,3,0,1,16,92.8,4.91,2.1,36.7,81.2,0.82,24.5,173.1,317.4,1697.0,2069,110,18.9,1.2375,95.5,0,2021,4,4,None,None,Low,88,0
HEMM-D003,Dumper,2021-04-20,2,1,1,5,85.6,3.7,2.37,39.7,86.0,0.87,23.1,171.3,328.1,1706.0,9421,43,23.14,1.3892,94.6,0,2021,4,1,None,None,Medium,148,0
HEMM-D004,Dumper,2023-05-03,2,2,2,20,90.2,4.34,1.83,34.4,83.9,0.81,24.4,179.7,333.4,1748.0,10332,33,20.78,1.0469,96.6,0,2023,5,2,None,None,Medium,76,0
HEMM-DR02,Drill Rig,2022-09-01,1,2,2,14,81.4,4.53,6.03,40.2,77.7,0.91,24.8,196.3,297.1,2012.0,5203,77,17.97,2.997,86.2,1,2022,9,3,Brake Failure,Brakes,Critical,1,1
HEMM-E002,Excavator,2022-06-26,3,2,1,3,79.0,4.63,2.17,46.1,83.8,0.97,23.7,170.7,340.9,1857.0,2773,35,17.06,1.1686,99.5,0,2022,6,6,None,None,Low,111,0
HEMM-E001,Excavator,2021-01-06,3,0,0,15,82.1,4.8,1.87,42.7,85.9,0.83,23.8,193.4,351.7,1598.0,11494,81,17.1,1.1702,100.0,0,2021,1,2,None,None,Medium,122,0
HEMM-E003,Excavator,2022-08-14,3,2,0,10,93.6,3.88,1.88,31.5,79.6,0.77,20.7,190.1,306.2,2025.0,11717,115,24.12,0.9284,91.6,0,2022,8,6,Electrical Fault,Electrical,Critical,3,1
HEMM-E002,Excavator,2023-05-21,3,1,1,18,72.0,4.57,1.03,35.3,88.5,0.93,24.7,193.2,321.7,1892.0,3883,87,15.75,0.5444,100.0,0,2023,5,6,None,None,Low,146,0
HEMM-D005,Dumper,2021-05-27,2,1,2,6,83.7,4.4,2.16,37.1,84.2,0.78,23.7,179.0,300.2,1690.0,5239,81,19.02,1.2781,99.0,0,2021,5,3,None,None,Low,64,0
HEMM-B002,Dozer,2023-06-19,0,1,2,15,78.4,4.57,1.71,45.8,77.8,0.96,24.5,174.6,330.3,1895.0,11483,43,17.16,0.9024,98.3,0,2023,6,0,None,None,Medium,71,0
HEMM-B001,Dozer,2023-10-22,0,2,2,16,103.3,4.44,2.32,54.0,72.9,0.78,25.8,184.1,331.6,1916.0,7372,15,23.27,1.2109,86.0,0,2023,10,6,Fuel System Failure,Fuel System,Critical,6,1
HEMM-B001,Dozer,2021-02-22,0,1,2,8,87.5,5.1,1.66,32.7,84.8,0.92,24.7,185.9,333.6,1776.0,11247,112,17.16,0.9347,98.8,0,2021,2,0,None,None,Medium,98,0
HEMM-D001,Dumper,2022-07-06,2,2,2,2,85.35,4.71,1.71,36.2,83.8,0.77,24.5,178.5,339.3,2021.0,3070,65,18.12,0.8461,99.8,0,2022,7,2,None,None,Low,167,0
HEMM-B001,Dozer,2022-01-07,0,2,0,14,90.9,3.96,2.27,30.3,79.5,0.86,25.4,190.4,309.6,1635.0,10600,109,22.95,1.3884,92.5,0,2022,1,4,None,None,Medium,61,0
HEMM-L001,Wheel Loader,2022-12-14,6,0,1,11,93.4,4.35,1.92,35.1,77.9,0.81,24.2,178.0,304.8,1803.0,5460,90,21.47,1.0649,93.4,0,2022,12,2,None,None,Low,34,0
HEMM-B003,Dozer,2023-04-24,0,2,0,16,86.6,4.26,2.25,30.2,77.6,0.86,24.9,165.0,293.4,1799.0,4922,89,20.33,1.2507,95.5,0,2023,4,0,None,None,Low,145,0
HEMM-SC01,Scraper,2021-03-17,5,0,0,3,135.4,4.54,1.73,38.9,84.5,0.59,24.4,171.0,374.4,1924.0,5353,37,29.82,0.8992,74.8,1,2021,3,2,Engine Overheat,Engine,Critical,6,1
HEMM-SC01,Scraper,2023-08-05,5,0,0,2,91.9,4.81,2.31,32.2,81.1,0.95,24.3,183.0,340.0,1676.0,3273,71,19.11,1.3783,95.3,0,2023,8,5,None,None,Low,171,0
HEMM-L001,Wheel Loader,2023-06-25,6,1,1,7,85.2,4.38,1.84,32.2,75.8,0.84,24.5,163.9,309.0,1881.0,4575,75,19.45,0.9782,96.8,0,2023,6,6,None,None,Low,84,0
HEMM-DR02,Drill Rig,2023-09-20,1,1,1,1,88.6,4.29,2.68,47.5,82.1,0.85,23.3,201.9,333.6,1837.0,10522,82,20.65,1.4589,95.1,0,2023,9,2,None,None,Medium,163,0
