Device_ID,Device_Type,Date,Device_Type_enc,Location_enc,Shift_enc,Operating_System_enc,Maintenance_Priority_enc,Device_Age_Years,CPU_Usage_pct,RAM_Usage_pct,Disk_Usage_pct,Temperature_C,Network_Latency_ms,Power_Consumption_W,Battery_Backup_pct,Error_Logs_Count,Fan_Speed_RPM,Voltage_V,Uptime_Hours,Last_Maintenance_Days,Health_Score,CPU_RAM_Avg,Temp_Fan_Ratio,Resource_Pressure,Overdue_Maintenance,Critical_Temp,High_Error,Age_Maint_Score,Year,Month,Day_of_Week,Failure_Type,Failure_Component,Maintenance_Priority,Days_to_Next_Failure,Failure
IT-SRV-004,Server,2023-01-11,3,0,1,11,3,4.3,55.2,68.3,53.0,46.0,7.33,299.2,100.0,2,3203.0,220.0,282,300,76.0,61.75,14.3615,58.47,1,0,0,12.9,2023,1,2,None,None,Medium,42,0
IT-UPS-002,UPS,2023-03-29,6,3,0,8,3,3.4,5.7,20.2,15.5,36.8,1.85,408.7,96.2,1,1963.0,216.7,6178,274,80.1,12.95,18.7468,12.99,1,0,0,9.32,2023,3,2,None,None,Medium,53,0
IT-SRV-002,Server,2023-02-03,3,0,2,5,2,6.3,21.2,54.2,73.2,39.7,5.18,337.5,100.0,3,3067.0,260.0,3871,160,88.5,37.7,12.9442,46.7,0,0,0,10.08,2023,2,4,None,None,Low,87,0
IT-SWT-002,Switch,2021-08-05,5,1,2,8,3,2.9,31.5,25.9,18.7,45.2,3.35,94.1,100.0,3,2712.0,214.6,4191,197,84.8,28.7,16.6667,25.98,1,0,0,5.71,2021,8,3,None,None,Medium,105,0
IT-SRV-003,Server,2023-06-16,3,0,0,7,3,1.0,74.4,53.8,60.3,41.2,1.32,268.7,99.5,1,2955.0,216.0,4901,351,70.2,64.1,13.9425,63.99,1,0,0,3.51,2023,6,4,None,None,Medium,112,0
IT-WRK-004,Workstation,2021-09-18,7,2,0,10,1,7.1,36.9,37.8,100.0,42.9,6.79,149.7,93.9,7,2075.0,218.5,6806,338,55.0,37.35,20.6747,56.1,1,0,0,24.0,2021,9,5,None,None,High,70,0
IT-FRW-002,Firewall,2023-06-21,0,1,1,2,2,3.0,39.8,15.0,27.0,34.4,3.19,79.6,100.0,3,2436.0,222.9,3338,177,86.8,27.4,14.1215,28.52,0,0,0,5.31,2023,6,2,None,None,Low,31,0
IT-PRT-001,Printer,2022-08-28,1,2,1,8,3,6.4,31.1,31.5,62.4,33.7,8.45,102.0,91.7,0,1772.0,214.8,4375,337,75.3,31.3,19.0181,40.61,1,0,0,21.57,2022,8,6,None,None,Medium,136,0
IT-PRT-001,Printer,2022-04-19,1,2,0,8,1,5.4,19.0,25.1,91.7,36.8,15.08,102.2,100.0,2,1915.0,224.6,159,58,93.0,22.05,19.2167,42.64,0,0,0,3.13,2022,4,1,None,None,High,158,0
IT-SRV-001,Server,2023-12-06,3,0,0,12,2,4.3,47.2,34.9,55.4,40.1,3.99,312.5,100.0,3,2959.0,225.4,7376,106,93.9,41.05,13.5519,45.97,0,0,0,4.56,2023,12,2,None,None,Low,97,0
IT-PRT-002,Printer,2023-05-04,1,2,0,8,0,2.0,70.5,54.6,97.2,57.4,5.7,119.1,93.5,29,1756.0,226.8,437,54,47.1,62.55,32.6879,73.74,0,0,1,1.08,2023,5,3,Server Crash,CPU/RAM,Critical,0,1
IT-STR-001,Storage Device,2022-08-28,4,0,1,8,3,7.9,17.9,30.6,88.1,37.849999999999994,3.24,130.3,86.5,2,2071.0,214.9,6566,205,83.7,24.25,18.2762,42.77,1,0,0,16.2,2022,8,6,None,None,Medium,74,0
IT-SWT-003,Switch,2021-09-21,5,1,1,3,3,7.0,39.8,32.8,38.0,45.2,4.78,95.4,97.3,0,100.0,220.5,6473,215,87.5,36.3,452.0,37.16,1,0,0,15.05,2021,9,1,None,None,Medium,173,0
IT-RTR-001,Router,2023-01-07,2,1,0,1,2,2.6,19.2,58.5,50.9,35.8,3.08,73.2,96.9,1,2589.0,220.2,6369,95,98.0,38.85,13.8277,40.5,0,0,0,2.47,2023,1,5,None,None,Low,152,0
IT-FRW-001,Firewall,2023-09-03,0,1,2,0,0,7.9,59.4,26.0,41.1,44.5,2.27,102.8,100.0,18,2341.0,216.4,4025,236,58.4,42.7,19.009,43.89,1,0,1,18.64,2023,9,6,Hardware Failure,Motherboard,Critical,5,1
IT-PRT-002,Printer,2021-01-09,1,2,2,8,3,5.3,8.7,16.5,78.8,39.0,19.63,111.7,88.1,1,2065.0,224.6,5327,212,86.3,12.6,18.8862,32.07,1,0,0,11.24,2021,1,5,None,None,Medium,96,0
IT-STR-001,Storage Device,2021-04-08,4,0,0,8,2,0.9,18.6,28.1,56.7,38.8,10.82,100.2,100.0,2,1787.0,221.8,8477,118,94.2,23.35,21.7124,32.88,0,0,0,1.06,2021,4,3,None,None,Low,172,0
IT-RTR-001,Router,2023-06-19,2,1,1,8,2,6.3,28.2,36.1,44.0,28.2,5.17,98.3,97.4,1,2580.0,215.8,3861,97,97.8,32.15,10.9302,35.31,0,0,0,6.11,2023,6,0,None,None,Low,59,0
IT-SWT-001,Switch,2022-07-19,5,1,2,3,3,1.0,50.8,33.7,38.7,39.1,2.64,72.0,100.0,1,2401.0,221.6,3347,287,78.8,42.25,16.2849,42.04,1,0,0,2.87,2022,7,1,None,None,Medium,74,0
IT-FRW-001,Firewall,2024-01-01,0,1,1,13,2,5.6,42.0,51.7,41.2,32.6,3.01,90.4,98.7,0,2591.0,220.0,2159,71,100.0,46.85,12.582,44.67,0,0,0,3.98,2024,1,0,None,None,Low,68,0
IT-SRV-002,Server,2023-11-17,3,0,2,5,3,1.7,66.7,59.0,46.4,47.7,3.12,337.4,100.0,1,2829.0,217.8,3893,315,76.0,62.85,16.8611,58.3,1,0,0,5.36,2023,11,4,None,None,Medium,71,0
IT-SRV-002,Server,2022-12-03,3,0,2,5,2,1.9,53.2,52.2,29.5,49.3,5.25,290.3,81.4,0,2947.0,222.9,3042,57,100.0,52.7,16.7289,45.79,0,0,0,1.08,2022,12,5,None,None,Low,67,0
IT-WRK-003,Workstation,2021-01-26,7,2,1,10,2,7.4,69.1,46.4,50.0,34.8,13.89,209.4,89.3,2,2324.0,215.1,1688,121,93.9,57.75,14.9742,56.56,0,0,0,8.95,2021,1,1,None,None,Low,175,0
IT-STR-002,Storage Device,2021-06-14,4,0,1,8,2,6.3,17.5,30.7,78.9,38.8,11.31,85.6,89.0,2,1650.0,215.9,6213,130,93.0,24.1,23.5152,39.88,0,0,0,8.19,2021,6,0,None,None,Low,110,0
IT-STR-001,Storage Device,2023-03-24,4,0,1,8,2,7.6,21.2,18.8,72.2,37.849999999999994,10.21,114.4,98.1,2,1862.0,220.2,2274,6,97.0,20.0,20.3276,35.78,0,0,0,0.46,2023,3,4,None,None,Low,103,0
IT-SWT-002,Switch,2022-08-18,5,1,1,3,2,3.7,38.7,36.0,44.3,32.1,4.27,83.6,98.5,0,2844.0,218.6,1284,21,100.0,37.35,11.2869,39.57,0,0,0,0.78,2022,8,3,None,None,Low,120,0
IT-FRW-002,Firewall,2022-10-12,0,1,0,13,3,3.0,32.7,45.6,6.1,42.4,2.75,58.8,97.2,1,2675.0,221.4,666,193,88.2,39.15,15.8505,28.59,1,0,0,5.79,2022,10,2,None,None,Medium,99,0
IT-WRK-004,Workstation,2021-11-05,7,2,2,6,3,0.6,33.8,59.3,45.8,43.0,10.96,154.3,85.1,3,2295.0,229.2,4831,205,84.0,46.55,18.7364,45.05,1,0,0,1.23,2021,11,4,None,None,Medium,137,0
IT-RTR-003,Router,2021-12-23,2,1,2,4,2,7.9,30.4,35.7,38.1,35.4,2.08,64.3,100.0,0,2373.0,218.6,3576,124,96.6,33.05,14.9178,34.3,0,0,0,9.8,2021,12,3,None,None,Low,96,0
IT-STR-001,Storage Device,2021-07-12,4,0,0,8,2,4.7,33.3,24.9,68.1,31.6,8.8,85.4,93.1,2,1781.0,224.8,570,104,95.6,29.1,17.7428,41.22,0,0,0,4.89,2021,7,0,None,None,Low,63,0
IT-RTR-001,Router,2022-09-08,2,1,1,4,2,1.9,30.8,34.4,40.6,37.3,2.71,74.8,100.0,2,2509.0,223.5,7155,77,97.0,32.6,14.8665,34.82,0,0,0,1.46,2022,9,3,None,None,Low,30,0
IT-SRV-002,Server,2023-10-28,3,0,0,5,0,1.1,53.0,86.0,76.9,46.8,1.5,353.2,88.7,2,2990.0,182.0,3922,175,86.1,69.5,15.6522,70.07,0,0,0,1.93,2023,10,5,Power Failure,Power Supply,Critical,1,1
IT-STR-001,Storage Device,2023-09-20,4,0,1,8,1,3.8,9.5,32.2,94.7,39.8,8.4,129.4,97.6,0,2108.0,215.3,3404,89,94.2,20.85,18.8805,41.87,0,0,0,3.38,2023,9,2,None,None,High,64,0
IT-RTR-003,Router,2021-12-20,2,1,2,4,3,1.8,14.0,24.7,33.4,41.0,4.82,106.6,100.0,1,2677.0,216.5,8551,345,73.0,19.35,15.3157,23.03,1,0,0,6.21,2021,12,0,None,None,Medium,159,0
IT-WRK-004,Workstation,2021-06-08,7,2,1,9,3,4.4,28.5,72.9,66.2,39.0,9.37,147.1,93.8,4,2043.0,212.8,6997,203,82.7,50.7,19.0896,53.13,1,0,0,8.93,2021,6,1,None,None,Medium,164,0
IT-RTR-003,Router,2022-05-29,2,1,0,8,2,3.0,21.3,33.7,34.4,39.9,3.77,84.1,94.8,0,2535.0,219.3,3198,50,100.0,27.5,15.7396,28.95,0,0,0,1.5,2022,5,6,None,None,Low,37,0
IT-UPS-003,UPS,2021-05-08,6,3,0,8,2,7.4,4.7,24.7,21.6,27.9,0.28,654.2,84.8,3,1784.0,222.1,4898,95,95.0,14.7,15.639,15.77,0,0,0,7.03,2021,5,5,None,None,Low,98,0
IT-FRW-002,Firewall,2022-06-07,0,1,1,13,0,4.5,37.1,42.1,65.5,46.2,3.02,92.3,97.7,25,2500.0,213.3,3315,187,52.8,39.6,18.48,47.12,1,0,1,8.41,2022,6,1,Disk Failure,Hard Disk,Critical,6,1
IT-WRK-001,Workstation,2021-04-25,7,2,1,10,3,2.2,54.9,51.2,40.3,35.2,14.88,125.7,96.3,4,2219.0,215.2,1383,195,83.5,53.05,15.863,49.41,1,0,0,4.29,2021,4,6,None,None,Medium,34,0
IT-SWT-003,Switch,2023-02-08,5,1,1,8,2,1.7,40.3,33.0,16.0,39.4,5.26,56.2,96.2,0,2372.0,222.7,1313,12,100.0,36.65,16.6105,30.82,0,0,0,0.2,2023,2,2,None,None,Low,37,0
IT-RTR-003,Router,2022-12-05,2,1,2,4,3,6.2,32.4,35.7,31.2,37.2,2.38,73.5,98.7,4,2473.0,223.7,1254,331,69.9,34.05,15.0425,33.03,1,0,0,20.52,2022,12,0,None,None,Medium,30,0
IT-FRW-002,Firewall,2023-06-12,0,1,1,13,3,6.8,14.4,27.6,20.2,31.5,3.1,80.4,100.0,1,2473.0,216.4,6158,255,82.0,21.0,12.7376,20.1,1,0,0,17.34,2023,6,0,None,None,Medium,138,0
IT-UPS-002,UPS,2022-06-23,6,3,0,8,0,6.6,17.4,26.2,16.5,37.5,2.46,454.7,34.6,1,2089.0,204.3,4577,272,80.3,21.8,17.9512,19.77,1,0,0,17.95,2022,6,3,UPS Battery Failure,Battery,Critical,0,1
IT-SWT-001,Switch,2022-09-21,5,1,2,8,3,2.3,30.0,51.2,38.5,36.8,4.2,127.3,99.6,1,2439.0,217.8,7346,341,73.4,40.6,15.0882,38.91,1,0,0,7.84,2022,9,2,None,None,Medium,143,0
IT-STR-002,Storage Device,2022-06-21,4,0,1,8,2,1.4,25.0,45.9,73.9,30.2,12.28,76.7,97.6,1,1840.0,218.0,390,145,93.0,35.45,16.413,45.94,0,0,0,2.03,2022,6,1,None,None,Low,156,0
IT-PRT-001,Printer,2023-06-24,1,2,0,8,3,4.3,14.0,33.6,88.2,42.0,10.72,106.5,91.0,1,2008.0,217.2,3953,310,74.6,23.8,20.9163,42.14,1,0,0,13.33,2023,6,5,None,None,Medium,166,0
IT-SRV-004,Server,2022-08-10,3,0,0,12,3,1.0,68.3,51.3,30.5,38.5,5.66,341.7,97.7,3,3437.0,228.2,4683,233,81.2,59.8,11.2016,51.86,1,0,0,2.33,2022,8,2,None,None,Medium,155,0
IT-STR-002,Storage Device,2021-06-24,4,0,2,8,3,0.9,29.3,43.3,73.8,31.9,10.31,95.5,100.0,2,1761.0,215.3,1469,325,73.5,36.3,18.1147,46.85,1,0,0,2.92,2021,6,3,None,None,Medium,63,0
IT-RTR-002,Router,2023-05-18,2,1,2,8,2,4.9,38.8,41.7,39.5,40.8,4.03,70.9,96.5,0,2438.0,219.8,390,11,100.0,40.25,16.735,39.88,0,0,0,0.54,2023,5,3,None,None,Low,61,0
IT-RTR-002,Router,2022-02-22,2,1,2,8,3,7.9,26.8,44.3,50.5,27.0,3.37,44.7,98.8,1,2525.0,215.9,308,221,85.4,35.55,10.6931,39.16,1,0,0,17.46,2022,2,1,None,None,Medium,103,0
IT-SRV-005,Server,2022-08-11,3,0,1,5,3,1.3,46.9,69.7,66.8,34.1,6.54,323.5,97.7,1,3221.0,216.3,3126,215,86.0,58.3,10.5868,59.71,1,0,0,2.8,2022,8,3,None,None,Medium,128,0
IT-SRV-003,Server,2022-07-05,3,0,2,7,0,2.4,53.7,77.5,34.2,78.5,7.01,287.4,92.5,1,2425.0,213.6,2693,141,74.6,65.6,32.3711,54.99,0,1,0,3.38,2022,7,1,Overheating,Cooling System,Critical,1,1
IT-WRK-002,Workstation,2022-03-22,7,2,2,10,3,6.7,40.1,43.5,60.7,31.4,4.7,142.5,89.1,5,2359.0,212.7,4233,257,75.8,41.8,13.3107,47.3,1,0,0,17.22,2022,3,1,None,None,Medium,94,0
IT-WRK-001,Workstation,2022-08-04,7,2,1,9,3,3.0,25.6,60.5,78.4,43.9,13.56,162.9,92.7,7,2057.0,222.7,2209,258,72.7,43.05,21.3418,51.91,1,0,0,7.74,2022,8,3,None,None,Medium,88,0
IT-STR-002,Storage Device,2023-11-23,4,0,1,8,3,4.7,17.0,38.0,63.0,45.3,9.83,100.5,93.9,3,1587.0,220.7,2468,294,75.1,27.5,28.5444,37.1,1,0,0,13.82,2023,11,3,None,None,Medium,30,0
IT-PRT-002,Printer,2023-03-30,1,2,2,8,0,0.6,18.6,35.8,64.6,34.2,10.02,112.8,11.5,0,1753.0,209.9,1548,218,87.2,27.2,19.5094,37.56,1,0,0,1.31,2023,3,3,UPS Battery Failure,Battery,Critical,0,1
IT-RTR-003,Router,2022-09-04,2,1,1,1,3,1.6,26.8,53.5,31.0,43.0,3.7,74.1,96.4,4,2441.0,223.1,4324,363,66.7,40.15,17.6157,36.07,1,0,0,5.81,2022,9,6,None,None,Medium,109,0
IT-WRK-004,Workstation,2022-01-25,7,2,1,6,2,1.3,62.3,32.9,76.4,47.4,6.47,168.7,100.0,2,2322.0,223.0,511,112,94.8,47.6,20.4134,57.71,0,0,0,1.46,2022,1,1,None,None,Low,106,0
IT-WRK-003,Workstation,2021-03-29,7,2,0,6,3,7.7,73.0,49.9,78.3,32.0,9.69,183.3,86.0,3,2246.0,220.9,7956,278,75.2,61.45,14.2476,67.66,1,0,0,21.41,2021,3,0,None,None,Medium,119,0
IT-SRV-005,Server,2021-03-30,3,0,2,7,2,5.7,43.3,54.3,55.9,32.7,4.65,361.5,100.0,1,2767.0,217.5,3893,107,96.8,48.8,11.8179,50.38,0,0,0,6.1,2021,3,1,None,None,Low,163,0
IT-PRT-001,Printer,2023-09-03,1,2,1,8,0,4.7,21.1,21.3,100.0,42.7,6.81,83.1,92.1,10,1964.0,224.4,8585,274,57.2,21.2,21.7413,44.83,1,0,0,12.88,2023,9,6,Disk Failure,Hard Disk,Critical,5,1
IT-SWT-003,Switch,2022-08-23,5,1,0,1,0,4.7,20.1,86.1,22.3,33.8,2.16,91.8,99.5,12,2565.0,223.0,1746,282,60.3,53.1,13.1774,40.56,1,0,1,13.25,2022,8,1,Memory Failure,RAM,Critical,5,1
IT-SRV-002,Server,2021-12-26,3,0,2,11,3,4.1,18.0,69.5,73.4,41.4,3.96,327.2,82.4,1,2838.0,222.1,7124,279,79.6,43.75,14.5877,50.07,1,0,0,11.44,2021,12,6,None,None,Medium,169,0
IT-STR-001,Storage Device,2023-02-12,4,0,0,8,2,7.4,9.3,29.5,83.8,34.1,13.6,76.3,90.0,2,1807.0,224.6,5862,69,97.0,19.4,18.8711,37.71,0,0,0,5.11,2023,2,6,None,None,Low,46,0
IT-SRV-004,Server,2021-01-10,3,0,0,5,3,2.9,83.6,59.8,53.0,46.1,3.6,321.9,100.0,1,2824.0,218.8,3981,304,70.3,71.7,16.3244,67.28,1,0,0,8.82,2021,1,6,None,None,Medium,61,0
IT-SWT-002,Switch,2022-07-20,5,1,0,1,2,1.5,33.3,53.6,13.7,43.0,3.6,86.4,98.6,0,2395.0,222.4,2224,148,94.2,43.45,17.9541,33.51,0,0,0,2.22,2022,7,2,None,None,Low,36,0
IT-WRK-004,Workstation,2022-06-22,7,2,1,9,2,3.6,28.2,69.1,72.4,40.1,3.19,125.7,94.9,3,2153.0,225.2,2202,136,90.9,48.65,18.6252,53.73,0,0,0,4.9,2022,6,2,None,None,Low,107,0
IT-UPS-002,UPS,2021-07-09,6,3,0,8,3,7.2,10.9,18.4,11.7,29.5,0.84,580.5,91.2,1,1991.0,222.1,3843,245,83.0,14.65,14.8167,13.39,1,0,0,17.64,2021,7,4,None,None,Medium,46,0
IT-SWT-002,Switch,2022-05-10,5,1,2,1,3,1.5,21.7,51.5,21.7,32.2,1.99,67.6,97.5,0,2429.0,215.9,1245,182,90.8,36.6,13.2565,30.64,1,0,0,2.73,2022,5,1,None,None,Medium,173,0
IT-FRW-001,Firewall,2022-12-29,0,1,2,13,2,7.8,20.4,51.0,29.0,35.0,4.04,86.1,100.0,3,2540.0,222.1,1158,8,95.5,35.7,13.7795,32.16,0,0,0,0.62,2022,12,3,None,None,Low,85,0
IT-SRV-001,Server,2023-07-13,3,0,1,5,2,4.2,50.5,85.1,48.3,42.1,5.01,321.8,98.0,0,3160.0,221.5,151,111,95.9,67.8,13.3228,60.22,0,0,0,4.66,2023,7,3,None,None,Low,41,0
IT-SRV-005,Server,2023-06-03,3,0,1,12,2,7.8,28.9,45.3,48.8,39.6,5.97,377.9,91.1,1,2822.0,220.6,7598,148,92.7,37.1,14.0326,39.79,0,0,0,11.54,2023,6,5,None,None,Low,35,0
IT-PRT-002,Printer,2021-03-08,1,2,0,8,3,5.2,26.0,31.5,74.7,28.6,13.39,106.3,93.8,4,1788.0,220.6,4182,292,73.8,28.75,15.9955,42.26,1,0,0,15.18,2021,3,0,None,None,Medium,130,0
IT-WRK-002,Workstation,2021-10-06,7,2,0,6,3,3.1,34.0,64.7,56.1,33.1,16.33,186.5,89.0,3,2225.0,211.2,2551,354,69.1,49.35,14.8764,49.84,1,0,0,10.97,2021,10,2,None,None,Medium,38,0
IT-STR-001,Storage Device,2023-02-03,4,0,2,8,2,5.5,9.6,29.9,73.9,35.8,20.19,90.9,94.9,1,1862.0,216.6,4424,91,98.4,19.75,19.2266,34.98,0,0,0,5.0,2023,2,4,None,None,Low,161,0
IT-SRV-003,Server,2023-03-08,3,0,2,5,3,5.9,21.6,78.1,73.5,29.2,5.77,272.3,97.6,4,3229.0,224.9,4364,311,71.9,49.85,9.043,54.12,1,0,0,18.35,2023,3,2,None,None,Medium,107,0
IT-WRK-004,Workstation,2021-12-19,7,2,1,6,0,2.4,100.0,83.7,77.6,63.4,10.43,215.3,90.3,2,1474.0,215.8,2932,346,39.2,91.85,43.0122,88.39,1,0,0,8.3,2021,12,6,Overheating,Cooling System,Critical,3,1
IT-SWT-001,Switch,2023-02-07,5,1,1,1,3,1.7,38.3,37.9,32.1,39.8,4.36,78.5,95.5,0,2564.0,219.2,7696,238,85.2,38.1,15.5226,36.32,1,0,0,4.05,2023,2,1,None,None,Medium,101,0
IT-WRK-002,Workstation,2022-10-15,7,2,2,6,3,1.8,43.2,77.1,58.1,37.849999999999994,14.57,115.8,99.5,4,1682.0,223.3,2411,354,67.6,60.15,22.503,57.84,1,0,0,6.37,2022,10,5,None,None,Medium,42,0
IT-WRK-004,Workstation,2021-11-11,7,2,0,9,2,4.3,73.6,84.2,80.5,36.8,9.47,177.8,97.4,3,2356.0,222.9,6600,170,84.0,78.9,15.6197,78.85,0,0,0,7.31,2021,11,3,None,None,Low,138,0
IT-SWT-003,Switch,2022-03-18,5,1,2,1,3,1.2,45.8,44.6,22.2,38.6,3.59,94.3,96.4,1,2690.0,224.5,4152,198,87.7,45.2,14.3494,38.36,1,0,0,2.38,2022,3,4,None,None,Medium,70,0
IT-PRT-001,Printer,2023-04-15,1,2,1,8,2,1.1,13.1,32.2,71.5,36.5,1.66,100.6,100.0,0,1892.0,214.0,1075,29,100.0,22.65,19.2918,36.35,0,0,0,0.32,2023,4,5,None,None,Low,52,0
IT-UPS-002,UPS,2022-03-17,6,3,2,8,2,3.8,10.5,26.2,13.3,24.9,1.41,550.3,86.4,1,1911.0,216.6,8384,4,98.5,18.35,13.0298,16.05,0,0,0,0.15,2022,3,3,None,None,Low,76,0
IT-FRW-001,Firewall,2023-05-28,0,1,2,13,2,3.8,29.0,41.9,26.7,40.7,1.37,98.1,98.6,2,2600.0,224.3,4638,87,97.0,35.45,15.6538,32.18,0,0,0,3.31,2023,5,6,None,None,Low,66,0
IT-UPS-001,UPS,2021-10-06,6,3,0,8,3,4.0,2.3,18.6,8.3,32.9,0.79,581.4,90.0,0,1832.0,235.1,7548,352,73.8,10.45,17.9585,8.99,1,0,0,14.08,2021,10,2,None,None,Medium,162,0
IT-STR-002,Storage Device,2022-09-07,4,0,2,8,3,5.1,22.6,29.8,64.7,40.9,9.96,113.1,87.9,1,2132.0,220.1,1707,248,82.7,26.2,19.1839,37.39,1,0,0,12.65,2022,9,2,None,None,Medium,38,0
IT-FRW-002,Firewall,2023-07-20,0,1,1,0,3,3.1,24.7,50.2,41.9,42.1,2.27,64.7,98.2,0,2309.0,216.7,290,196,89.4,37.45,18.233,37.51,1,0,0,6.08,2023,7,3,None,None,Medium,141,0
IT-SWT-003,Switch,2021-05-03,5,1,2,1,3,1.4,41.3,39.0,39.7,37.6,4.62,97.7,97.7,2,2404.0,225.5,2094,281,77.9,40.15,15.6406,40.13,1,0,0,3.93,2021,5,0,None,None,Medium,139,0
IT-SRV-001,Server,2021-08-20,3,0,1,12,2,1.5,63.6,41.6,42.5,46.6,0.15,423.0,94.4,3,3162.0,222.6,3715,130,91.5,52.6,14.7375,50.67,0,0,0,1.95,2021,8,4,None,None,Low,35,0
IT-SRV-002,Server,2021-03-30,3,0,1,11,2,1.9,30.3,69.3,17.0,55.4,5.63,370.5,96.0,4,2772.0,219.6,3485,110,91.6,49.8,19.9856,38.01,0,0,0,2.09,2021,3,1,None,None,Low,162,0
IT-RTR-001,Router,2023-08-03,2,1,0,4,2,3.1,28.3,53.6,47.6,37.6,4.27,106.5,99.5,2,2476.0,220.4,6108,178,88.2,40.95,15.1858,41.68,0,0,0,5.52,2023,8,3,None,None,Low,116,0
IT-SRV-001,Server,2023-07-15,3,0,1,12,2,4.9,21.8,52.6,76.2,31.1,6.33,398.1,88.4,2,3071.0,219.0,773,110,95.0,37.2,10.127,47.36,0,0,0,5.39,2023,7,5,None,None,Low,132,0
IT-SWT-002,Switch,2023-01-26,5,1,0,1,2,5.8,37.0,47.3,25.2,39.3,3.36,104.4,100.0,1,2655.0,217.4,7814,172,90.3,42.15,14.8023,36.55,0,0,0,9.98,2023,1,3,None,None,Low,107,0
IT-WRK-002,Workstation,2023-10-10,7,2,1,10,2,0.7,3.4,65.9,61.3,32.4,8.3,167.5,74.7,1,2299.0,220.6,1577,170,90.5,34.65,14.0931,39.52,0,0,0,1.19,2023,10,1,None,None,Low,57,0
IT-SRV-001,Server,2023-05-20,3,0,2,7,2,5.7,43.3,60.4,80.9,47.2,5.67,323.3,96.2,1,2959.0,225.6,157,90,98.5,51.85,15.9513,59.71,0,0,0,5.13,2023,5,5,None,None,Low,125,0
IT-STR-001,Storage Device,2022-11-26,4,0,2,8,3,7.7,48.6,20.0,69.7,38.0,9.54,92.1,96.2,2,1869.0,223.8,4446,200,86.0,34.3,20.3317,46.35,1,0,0,15.4,2022,11,5,None,None,Medium,72,0
IT-RTR-003,Router,2022-09-25,2,1,2,1,2,1.2,35.1,49.1,39.6,38.9,2.63,70.5,97.2,3,2548.0,214.9,7993,37,95.5,42.1,15.2669,40.65,0,0,0,0.44,2022,9,6,None,None,Low,50,0
