Equipment_ID,Equipment_Type,Date,Equipment_Type_enc,Shift_enc,Road_Condition_enc,Operator_Experience_Yr,Engine_Temp_C,Oil_Pressure_bar,Vibration_mms,Fuel_Consumption_Lhr,Tyre_Pressure_PSI,Coolant_Level,Battery_Voltage_V,Hydraulic_Pressure_bar,Exhaust_Temp_C,RPM,Operating_Hours,Load_Cycles_per_Day,Temp_Oil_Ratio,Vib_RPM_Ratio,Health_Score,High_Risk,Year,Month,Day_of_Week,Failure_Type,Failure_Component,Maintenance_Priority,Days_to_Next_Failure,Failure,Engine_Temp_C_Lower_Limit,Engine_Temp_C_Upper_Limit,Engine_Temp_C_Status,Oil_Pressure_bar_Lower_Limit,Oil_Pressure_bar_Upper_Limit,Oil_Pressure_bar_Status,Vibration_mms_Lower_Limit,Vibration_mms_Upper_Limit,Vibration_mms_Status,Fuel_Consumption_Lhr_Lower_Limit,Fuel_Consumption_Lhr_Upper_Limit,Fuel_Consumption_Lhr_Status,Tyre_Pressure_PSI_Lower_Limit,Tyre_Pressure_PSI_Upper_Limit,Tyre_Pressure_PSI_Status,Coolant_Level_Lower_Limit,Coolant_Level_Upper_Limit,Coolant_Level_Status,Battery_Voltage_V_Lower_Limit,Battery_Voltage_V_Upper_Limit,Battery_Voltage_V_Status,Hydraulic_Pressure_bar_Lower_Limit,Hydraulic_Pressure_bar_Upper_Limit,Hydraulic_Pressure_bar_Status,Exhaust_Temp_C_Lower_Limit,Exhaust_Temp_C_Upper_Limit,Exhaust_Temp_C_Status,RPM_Lower_Limit,RPM_Upper_Limit,RPM_Status,Maintenance_Type,PM_Interval_Hours,Next_PM_Due_Hours,PM_Status,Maintenance_Cost_INR,Estimated_Downtime_Hrs,Last_Maintenance_Type,Days_Since_Last_Maintenance,Maintenance_Team,Engine_Condition,Tyre_Condition,Hydraulic_Condition,Brake_Condition,Electrical_Condition,Fuel_System_Condition,Transmission_Condition,Cooling_System_Condition,Engine_Replacement_Needed,Tyre_Replacement_Needed,Hydraulic_Replacement_Needed,Brake_Replacement_Needed,Electrical_Replacement_Needed,Engine_Life_Remaining_pct,Tyre_Life_Remaining_pct,Hydraulic_Life_Remaining_pct,Battery_Life_Remaining_pct,Brake_Life_Remaining_pct,Spare_Parts_Required,Prescriptive_Action
HEMM-SC01,Scraper,2022-03-26,5,2,1,11,82.3,0.5,1.94,40.0,89.5,0.84,24.6,179.8,286.5,1693.0,1116,34,164.6,1.1459,80.0,1,2022,3,5,None,None,Low,110,0,60,105,Normal,3.0,6.0,Below Normal,0.5,4.5,Normal,20,55,Normal,70,95,Normal,0.6,1.0,Normal,22,27,Normal,150,220,Normal,250,420,Normal,1400,2200,Normal,Condition Based Monitoring,300,84,PM Not Due,2712,0.3,Preventive Maintenance,45,Team C - Hydraulics,Good,Good,Good,Good,Good,Good,Good,Good,No,No,No,No,No,90.7,92.4,88.8,91.1,61.2,No Parts Required,Continue normal operation. Monitor sensors.
HEMM-G002,Grader,2022-07-03,4,1,2,7,77.1,4.32,1.97,44.2,76.3,0.92,23.3,194.8,363.2,1923.0,9492,117,17.85,1.0244,96.8,0,2022,7,6,None,None,Medium,152,0,60,105,Normal,3.0,6.0,Normal,0.5,4.5,Normal,20,55,Normal,70,95,Normal,0.6,1.0,Normal,22,27,Normal,150,220,Normal,250,420,Normal,1400,2200,Normal,Preventive Maintenance,300,108,PM Not Due,29349,3.7,Preventive Maintenance,162,Team C - Hydraulics,Good,Good,Good,Good,Good,Good,Good,Good,No,No,No,No,No,20.9,5.0,5.1,86.3,60.6,No Parts Required,Continue normal operation. Monitor sensors.
HEMM-L001,Wheel Loader,2023-03-22,6,2,1,15,90.8,4.25,2.14,37.9,86.9,0.95,24.3,180.3,296.1,1879.0,2540,38,21.36,1.1389,95.4,0,2023,3,2,None,None,Low,176,0,60,105,Normal,3.0,6.0,Normal,0.5,4.5,Normal,20,55,Normal,70,95,Normal,0.6,1.0,Normal,22,27,Normal,150,220,Normal,250,420,Normal,1400,2200,Normal,Scheduled Maintenance,250,210,PM Not Due,14912,5.8,Preventive Maintenance,13,Team B - Electrical,Good,Good,Good,Good,Good,Good,Good,Good,No,No,No,No,No,78.8,80.7,74.6,90.0,57.2,No Parts Required,Continue normal operation. Monitor sensors.
HEMM-SC01,Scraper,2022-06-23,5,2,2,19,88.5,4.86,2.24,34.4,80.9,0.99,24.7,155.3,329.6,1893.0,7219,119,18.21,1.1833,97.1,0,2022,6,3,None,None,Low,71,0,60,105,Normal,3.0,6.0,Normal,0.5,4.5,Normal,20,55,Normal,70,95,Normal,0.6,1.0,Normal,22,27,Normal,150,220,Normal,250,420,Normal,1400,2200,Normal,Condition Based Monitoring,300,281,PM Not Due,2260,0.0,Corrective Maintenance,79,Team D - General,Good,Good,Good,Good,Good,Good,Good,Good,No,No,No,No,No,39.8,5.0,27.8,91.5,55.2,No Parts Required,Continue normal operation. Monitor sensors.
HEMM-E003,Excavator,2021-10-11,3,2,1,16,91.5,4.01,2.09,44.5,75.6,0.77,24.6,165.6,343.8,1930.0,1689,101,22.82,1.0829,91.5,0,2021,10,0,None,None,Low,160,0,60,105,Normal,3.0,6.0,Normal,0.5,4.5,Normal,20,55,Normal,70,95,Normal,0.6,1.0,Normal,22,27,Normal,150,220,Normal,250,420,Normal,1400,2200,Normal,Condition Based Monitoring,200,111,PM Not Due,2244,0.2,Scheduled Maintenance,25,Team B - Electrical,Good,Good,Good,Good,Good,Good,Good,Good,No,No,No,No,No,85.9,65.9,83.1,91.1,58.2,No Parts Required,Continue normal operation. Monitor sensors.
HEMM-D005,Dumper,2021-11-24,2,2,0,14,78.1,4.39,2.43,42.3,150.0,0.84,24.0,169.1,262.4,1720.0,9971,13,17.79,1.4128,98.2,0,2021,11,2,None,None,Medium,97,0,60,105,Normal,3.0,6.0,Normal,0.5,4.5,Normal,20,55,Normal,70,95,Above Normal,0.6,1.0,Normal,22,27,Normal,150,220,Normal,250,420,Normal,1400,2200,Normal,Preventive Maintenance,250,29,PM Due Soon,13070,5.1,Condition Based Monitoring,117,Team A - Mechanical,Good,Warning,Good,Good,Good,Good,Good,Good,No,Monitor,No,No,No,16.9,74.1,5.0,88.9,51.4,No Parts Required,Plan PM in next 29 hours.
HEMM-DR02,Drill Rig,2023-12-20,1,0,2,18,96.3,4.05,2.31,64.1,83.7,0.89,25.0,177.5,304.9,1711.0,388,92,23.78,1.3501,91.2,0,2023,12,2,Fuel System Failure,Fuel System,Critical,4,1,60,105,Normal,3.0,6.0,Normal,0.5,4.5,Normal,20,55,Above Normal,70,95,Normal,0.6,1.0,Normal,22,27,Normal,150,220,Normal,250,420,Normal,1400,2200,Normal,Corrective Maintenance,150,62,Breakdown - Immediate Action,107314,44.5,Corrective Maintenance,157,Team C - Hydraulics,Good,Good,Good,Good,Good,Critical,Good,Good,No,No,No,No,No,96.8,92.9,96.1,92.6,53.8,No Parts Required,IMMEDIATE ACTION: Stop machine. Replace Fuel System. Contact maintenance team.
HEMM-D004,Dumper,2022-08-25,2,0,2,6,78.5,4.44,2.35,44.5,76.6,0.92,24.3,185.0,375.7,1797.0,7633,5,17.68,1.3077,96.5,0,2022,8,3,None,None,Low,78,0,60,105,Normal,3.0,6.0,Normal,0.5,4.5,Normal,20,55,Normal,70,95,Normal,0.6,1.0,Normal,22,27,Normal,150,220,Normal,250,420,Normal,1400,2200,Normal,Condition Based Monitoring,250,117,PM Not Due,3905,0.1,Corrective Maintenance,44,Team B - Electrical,Good,Good,Good,Good,Good,Good,Good,Good,No,No,No,No,No,36.4,92.4,23.7,90.0,53.0,No Parts Required,Continue normal operation. Monitor sensors.
HEMM-B001,Dozer,2023-10-23,0,1,2,17,70.7,4.4,2.13,40.5,81.5,0.89,24.7,183.4,321.0,1778.0,1943,116,16.07,1.198,98.9,0,2023,10,0,None,None,Low,96,0,60,105,Normal,3.0,6.0,Normal,0.5,4.5,Normal,20,55,Normal,70,95,Normal,0.6,1.0,Normal,22,27,Normal,150,220,Normal,250,420,Normal,1400,2200,Normal,Condition Based Monitoring,250,57,PM Not Due,6139,0.8,Preventive Maintenance,152,Team C - Hydraulics,Good,Good,Good,Good,Good,Good,Good,Good,No,No,No,No,No,83.8,54.9,80.6,91.5,57.4,No Parts Required,Continue normal operation. Monitor sensors.
HEMM-L002,Wheel Loader,2022-02-12,6,1,2,12,81.2,4.59,1.5,38.9,83.5,0.89,24.6,171.9,341.1,1805.0,2846,74,17.69,0.831,100.0,0,2022,2,5,None,None,Low,46,0,60,105,Normal,3.0,6.0,Normal,0.5,4.5,Normal,20,55,Normal,70,95,Normal,0.6,1.0,Normal,22,27,Normal,150,220,Normal,250,420,Normal,1400,2200,Normal,Condition Based Monitoring,250,154,PM Not Due,6931,0.7,Scheduled Maintenance,17,Team D - General,Good,Good,Good,Good,Good,Good,Good,Good,No,No,No,No,No,76.3,57.9,71.5,91.1,70.0,No Parts Required,Continue normal operation. Monitor sensors.
HEMM-B003,Dozer,2023-09-28,0,1,0,4,88.6,5.21,1.73,29.5,84.6,0.77,10.0,174.4,317.4,1644.0,6147,117,17.01,1.0523,98.2,0,2023,9,3,None,None,Low,115,0,60,105,Normal,3.0,6.0,Normal,0.5,4.5,Normal,20,55,Normal,70,95,Normal,0.6,1.0,Normal,22,27,Below Normal,150,220,Normal,250,420,Normal,1400,2200,Normal,Condition Based Monitoring,250,103,PM Not Due,2217,0.2,Condition Based Monitoring,28,Team A - Mechanical,Good,Good,Good,Good,Warning,Good,Good,Good,No,No,No,No,Monitor,48.8,5.0,38.5,37.0,65.4,No Parts Required,Continue normal operation. Monitor sensors.
HEMM-E003,Excavator,2021-06-11,3,1,2,16,101.0,4.13,1.82,35.9,84.4,0.76,24.7,161.2,339.3,1749.0,1333,102,24.46,1.0406,90.2,0,2021,6,4,None,None,High,89,0,60,105,Normal,3.0,6.0,Normal,0.5,4.5,Normal,20,55,Normal,70,95,Normal,0.6,1.0,Normal,22,27,Normal,150,220,Normal,250,420,Normal,1400,2200,Normal,Predictive Maintenance,200,67,PM Not Due,28031,8.9,Corrective Maintenance,30,Team B - Electrical,Warning,Good,Good,Good,Good,Good,Good,Good,Monitor,No,No,No,No,88.9,72.8,86.7,91.5,63.6,No Parts Required,Schedule maintenance within 48 hours. Check all systems.
HEMM-D005,Dumper,2023-09-01,2,2,2,6,89.4,3.99,2.96,47.2,87.5,0.99,24.9,159.7,323.7,1734.0,4542,72,22.41,1.707,92.4,0,2023,9,4,None,None,Low,121,0,60,105,Normal,3.0,6.0,Normal,0.5,4.5,Normal,20,55,Normal,70,95,Normal,0.6,1.0,Normal,22,27,Normal,150,220,Normal,250,420,Normal,1400,2200,Normal,Scheduled Maintenance,250,208,PM Not Due,19731,4.8,Condition Based Monitoring,128,Team D - General,Good,Good,Good,Good,Good,Good,Good,Good,No,No,No,No,No,62.2,34.6,54.6,92.2,40.8,No Parts Required,Continue normal operation. Monitor sensors.
HEMM-E002,Excavator,2022-02-16,3,2,2,10,91.8,4.16,2.34,46.9,79.3,0.76,24.4,188.3,313.6,1780.0,6737,90,22.07,1.3146,92.8,0,2022,2,2,None,None,Low,118,0,60,105,Normal,3.0,6.0,Normal,0.5,4.5,Normal,20,55,Normal,70,95,Normal,0.6,1.0,Normal,22,27,Normal,150,220,Normal,250,420,Normal,1400,2200,Normal,Condition Based Monitoring,200,63,PM Not Due,7323,1.0,Corrective Maintenance,153,Team D - General,Good,Good,Good,Good,Good,Good,Good,Good,No,No,No,No,No,43.9,5.0,32.6,90.4,53.2,No Parts Required,Continue normal operation. Monitor sensors.
HEMM-L002,Wheel Loader,2023-07-14,6,1,0,8,74.9,4.87,5.54,43.2,75.9,0.84,24.3,177.6,357.4,1991.0,3881,13,15.38,2.7825,86.9,1,2023,7,4,Brake Failure,Brakes,Critical,3,1,60,105,Normal,3.0,6.0,Normal,0.5,4.5,Above Normal,20,55,Normal,70,95,Normal,0.6,1.0,Normal,22,27,Normal,150,220,Normal,250,420,Normal,1400,2200,Normal,Corrective Maintenance,250,119,Breakdown - Immediate Action,192853,16.0,Condition Based Monitoring,158,Team A - Mechanical,Good,Good,Good,Critical,Good,Good,Good,Good,No,No,No,Yes,No,67.7,89.9,61.2,90.0,5.0,Brake Pads/Disc,IMMEDIATE ACTION: Stop machine. Replace Brakes. Contact maintenance team.
HEMM-D001,Dumper,2021-05-26,2,2,1,2,77.5,4.33,20.0,38.0,85.0,0.88,25.0,195.4,326.9,1893.0,3950,13,17.9,10.5652,45.2,1,2021,5,2,None,None,Low,113,0,60,105,Normal,3.0,6.0,Normal,0.5,4.5,Above Normal,20,55,Normal,70,95,Normal,0.6,1.0,Normal,22,27,Normal,150,220,Normal,250,420,Normal,1400,2200,Normal,Condition Based Monitoring,250,50,PM Due Soon,5436,0.1,Preventive Maintenance,57,Team A - Mechanical,Good,Good,Good,Warning,Good,Good,Good,Good,No,No,No,Monitor,No,67.1,89.7,60.5,92.6,5.0,No Parts Required,Plan PM in next 50 hours.
HEMM-D003,Dumper,2023-11-19,2,1,1,9,69.8,5.01,1.75,48.6,84.7,0.85,24.5,182.8,307.5,1779.0,11160,67,13.93,0.9837,100.0,0,2023,11,6,None,None,Medium,119,0,60,105,Normal,3.0,6.0,Normal,0.5,4.5,Normal,20,55,Normal,70,95,Normal,0.6,1.0,Normal,22,27,Normal,150,220,Normal,250,420,Normal,1400,2200,Normal,Preventive Maintenance,250,90,PM Not Due,17223,2.4,Preventive Maintenance,17,Team A - Mechanical,Good,Good,Good,Good,Good,Good,Good,Good,No,No,No,No,No,7.0,5.0,5.0,90.7,65.0,No Parts Required,Continue normal operation. Monitor sensors.
HEMM-L001,Wheel Loader,2022-05-13,6,0,1,14,81.1,4.46,1.67,47.8,81.8,0.84,24.7,179.2,275.7,1939.0,3319,17,18.18,0.8613,99.7,0,2022,5,4,None,None,Low,128,0,60,105,Normal,3.0,6.0,Normal,0.5,4.5,Normal,20,55,Normal,70,95,Normal,0.6,1.0,Normal,22,27,Normal,150,220,Normal,250,420,Normal,1400,2200,Normal,Condition Based Monitoring,250,181,PM Not Due,5679,0.2,Scheduled Maintenance,52,Team D - General,Good,Good,Good,Good,Good,Good,Good,Good,No,No,No,No,No,72.3,88.7,66.8,91.5,66.6,No Parts Required,Continue normal operation. Monitor sensors.
HEMM-G001,Grader,2023-05-18,4,0,2,15,70.7,4.01,1.73,43.8,88.2,0.94,24.3,193.1,320.4,1868.0,1087,91,17.63,0.9261,97.6,0,2023,5,3,None,None,Low,129,0,60,105,Normal,3.0,6.0,Normal,0.5,4.5,Normal,20,55,Normal,70,95,Normal,0.6,1.0,Normal,22,27,Normal,150,220,Normal,250,420,Normal,1400,2200,Normal,Condition Based Monitoring,300,113,PM Not Due,6827,0.7,Preventive Maintenance,110,Team B - Electrical,Good,Good,Good,Good,Good,Good,Good,Good,No,No,No,No,No,90.9,80.2,89.1,90.0,65.4,No Parts Required,Continue normal operation. Monitor sensors.
HEMM-D004,Dumper,2021-05-05,2,0,1,11,82.5,4.39,1.75,47.6,86.3,0.86,24.0,167.9,343.2,1879.0,1990,36,18.79,0.9313,99.4,0,2021,5,2,None,None,Low,173,0,60,105,Normal,3.0,6.0,Normal,0.5,4.5,Normal,20,55,Normal,70,95,Normal,0.6,1.0,Normal,22,27,Normal,150,220,Normal,250,420,Normal,1400,2200,Normal,Condition Based Monitoring,250,10,PM Due Now,4278,1.0,Corrective Maintenance,87,Team D - General,Good,Good,Good,Good,Good,Good,Good,Good,No,No,No,No,No,83.4,85.7,80.1,88.9,65.0,No Parts Required,Perform scheduled PM now. PM interval: 250 hrs.
HEMM-DR02,Drill Rig,2021-10-15,1,0,1,6,79.4,4.5,1.16,46.9,80.8,0.78,24.9,184.1,308.7,1718.0,4763,64,17.64,0.6752,99.5,0,2021,10,4,None,None,Low,36,0,60,105,Normal,3.0,6.0,Normal,0.5,4.5,Normal,20,55,Normal,70,95,Normal,0.6,1.0,Normal,22,27,Normal,150,220,Normal,250,420,Normal,1400,2200,Normal,Condition Based Monitoring,150,37,PM Due Soon,2053,0.8,Corrective Maintenance,174,Team B - Electrical,Good,Good,Good,Good,Good,Good,Good,Good,No,No,No,No,No,60.3,39.0,52.4,92.2,76.8,No Parts Required,Plan PM in next 37 hours.
HEMM-D003,Dumper,2023-06-27,2,2,2,4,86.9,3.92,1.85,42.4,81.1,0.79,23.7,180.8,341.2,1824.0,1028,88,22.17,1.0143,95.8,0,2023,6,1,None,None,Low,115,0,60,105,Normal,3.0,6.0,Normal,0.5,4.5,Normal,20,55,Normal,70,95,Normal,0.6,1.0,Normal,22,27,Normal,150,220,Normal,250,420,Normal,1400,2200,Normal,Scheduled Maintenance,250,222,PM Not Due,10615,5.9,Corrective Maintenance,103,Team D - General,Good,Good,Good,Good,Good,Good,Good,Good,No,No,No,No,No,91.4,81.9,89.7,87.8,63.0,No Parts Required,Continue normal operation. Monitor sensors.
HEMM-D003,Dumper,2022-04-30,2,1,1,14,79.3,4.41,2.12,45.4,85.4,0.78,24.4,177.0,319.9,1732.0,8156,66,17.98,1.224,99.2,0,2022,4,5,None,None,Medium,90,0,60,105,Normal,3.0,6.0,Normal,0.5,4.5,Normal,20,55,Normal,70,95,Normal,0.6,1.0,Normal,22,27,Normal,150,220,Normal,250,420,Normal,1400,2200,Normal,Preventive Maintenance,250,94,PM Not Due,23848,7.9,Corrective Maintenance,84,Team A - Mechanical,Good,Good,Good,Good,Good,Good,Good,Good,No,No,No,No,No,32.0,5.0,18.4,90.4,57.6,No Parts Required,Continue normal operation. Monitor sensors.
HEMM-D002,Dumper,2021-12-04,2,0,0,1,84.6,4.72,2.29,32.5,85.0,0.85,24.1,179.5,268.7,1914.0,6596,38,17.92,1.1964,99.1,0,2021,12,5,None,None,Low,87,0,60,105,Normal,3.0,6.0,Normal,0.5,4.5,Normal,20,55,Normal,70,95,Normal,0.6,1.0,Normal,22,27,Normal,150,220,Normal,250,420,Normal,1400,2200,Normal,Condition Based Monitoring,250,154,PM Not Due,4787,0.7,Preventive Maintenance,31,Team C - Hydraulics,Good,Good,Good,Good,Good,Good,Good,Good,No,No,No,No,No,45.0,49.9,34.0,89.3,54.2,No Parts Required,Continue normal operation. Monitor sensors.
HEMM-SC01,Scraper,2023-09-24,5,1,1,7,86.8,4.51,2.04,34.1,82.1,0.91,24.7,175.7,357.2,1920.0,5061,32,19.25,1.0625,99.0,0,2023,9,6,None,None,Low,173,0,60,105,Normal,3.0,6.0,Normal,0.5,4.5,Normal,20,55,Normal,70,95,Normal,0.6,1.0,Normal,22,27,Normal,150,220,Normal,250,420,Normal,1400,2200,Normal,Condition Based Monitoring,300,39,PM Due Soon,4276,0.7,Preventive Maintenance,176,Team D - General,Good,Good,Good,Good,Good,Good,Good,Good,No,No,No,No,No,57.8,67.6,49.4,91.5,59.2,No Parts Required,Plan PM in next 39 hours.
