Equipment_ID,Equipment_Type,Date,Shift,Operator_Experience_Yr,Road_Condition,Engine_Temp_C,Oil_Pressure_bar,Vibration_mms,Fuel_Consumption_Lhr,Tyre_Pressure_PSI,Coolant_Level,Battery_Voltage_V,Hydraulic_Pressure_bar,Exhaust_Temp_C,RPM,Operating_Hours,Load_Cycles_per_Day,Days_to_Next_Failure,Failure_Component,Failure_Type,Failure,Maintenance_Priority
HEMM-D005,Dumper,2021-11-24,Night,14,Fair,78.1,4.39,2.43,42.3,89.2,0.84,24.0,169.1,262.4,1720.0,9971,13,97,None,None,0,Medium
HEMM-DR02,Drill Rig,2023-12-20,Afternoon,18,Poor,96.3,4.05,2.31,64.1,83.7,0.89,25.0,177.5,304.9,1711.0,388,92,4,Fuel System,Fuel System Failure,1,Critical
HEMM-D004,Dumper,2022-08-25,Afternoon,6,Poor,78.5,4.44,2.35,44.5,76.6,0.92,24.3,185.0,375.7,1797.0,7633,5,78,None,None,0,Low
HEMM-B001,Dozer,2023-10-23,Morning,17,Poor,70.7,4.4,2.13,40.5,81.5,0.89,24.7,183.4,321.0,1778.0,1943,116,96,None,None,0,Low
HEMM-L002,Wheel Loader,2022-02-12,Morning,12,Poor,81.2,4.59,1.5,38.9,83.5,0.89,24.6,171.9,341.1,1805.0,2846,74,46,None,None,0,Low
HEMM-B003,Dozer,2023-09-28,Morning,4,Fair,88.6,5.21,1.73,29.5,84.6,0.77,23.8,174.4,317.4,1644.0,6147,117,115,None,None,0,Low
HEMM-E003,Excavator,2021-06-11,Morning,16,Poor,101.0,4.13,1.82,35.9,84.4,0.76,24.7,161.2,339.3,1749.0,1333,102,89,None,None,0,High
HEMM-D005,Dumper,2023-09-01,Night,6,Poor,89.4,3.99,2.96,47.2,87.5,0.99,24.9,159.7,323.7,1734.0,4542,72,121,None,None,0,Low
HEMM-E002,Excavator,2022-02-16,Night,10,Poor,91.8,4.16,2.34,46.9,79.3,0.76,24.4,188.3,313.6,1780.0,6737,90,118,None,None,0,Low
HEMM-L002,Wheel Loader,2023-07-14,Morning,8,Fair,74.9,4.87,5.54,43.2,75.9,0.84,24.3,177.6,357.4,1991.0,3881,13,3,Brakes,Brake Failure,1,Critical
HEMM-D001,Dumper,2021-05-26,Night,2,Good,77.5,4.33,2.06,38.0,85.0,0.88,25.0,195.4,326.9,1893.0,3950,13,113,None,None,0,Low
HEMM-D003,Dumper,2023-11-19,Morning,9,Good,69.8,5.01,1.75,48.6,84.7,0.85,24.5,182.8,307.5,1779.0,11160,67,119,None,None,0,Medium
HEMM-L001,Wheel Loader,2022-05-13,Afternoon,14,Good,81.1,4.0,1.67,47.8,81.8,0.84,24.7,179.2,275.7,1939.0,3319,17,128,None,None,0,Low
HEMM-G001,Grader,2023-05-18,Afternoon,15,Poor,70.7,4.01,1.73,43.8,88.2,0.94,24.3,193.1,320.4,1868.0,1087,91,129,None,None,0,Low
HEMM-D004,Dumper,2021-05-05,Afternoon,11,Good,82.5,4.39,1.75,47.6,86.3,0.86,24.0,167.9,343.2,1879.0,1990,36,173,None,None,0,Low
HEMM-DR02,Drill Rig,2021-10-15,Afternoon,6,Good,79.4,4.5,1.16,46.9,80.8,0.78,24.9,184.1,308.7,1718.0,4763,64,36,None,None,0,Low
HEMM-D003,Dumper,2023-06-27,Night,4,Poor,86.9,3.92,1.85,42.4,81.1,0.79,23.7,180.8,341.2,1824.0,1028,88,115,None,None,0,Low
HEMM-D003,Dumper,2022-04-30,Morning,14,Good,79.3,4.41,2.12,45.4,85.4,0.78,24.4,177.0,319.9,1732.0,8156,66,90,None,None,0,Medium
HEMM-D002,Dumper,2021-12-04,Afternoon,1,Fair,84.6,4.72,2.29,32.5,85.0,0.85,24.1,179.5,268.7,1914.0,6596,38,87,None,None,0,Low
HEMM-SC01,Scraper,2023-09-24,Morning,7,Good,86.8,4.51,2.04,34.1,82.1,0.91,24.7,175.7,357.2,1920.0,5061,32,173,None,None,0,Low
HEMM-SC01,Scraper,2021-05-05,Night,11,Poor,99.5,4.65,2.08,33.6,81.1,0.83,24.7,169.6,293.0,1744.0,1136,11,57,None,None,0,Low
HEMM-L002,Wheel Loader,2021-11-19,Morning,17,Good,69.7,4.64,5.89,42.9,85.0,0.85,25.2,191.8,310.6,1843.0,1512,113,1,Brakes,Brake Failure,1,Critical
HEMM-G002,Grader,2021-09-03,Night,8,Good,95.8,4.59,1.81,46.2,82.9,0.98,25.3,186.0,307.1,1936.0,9685,81,114,None,None,0,Medium
HEMM-DR01,Drill Rig,2023-12-07,Afternoon,9,Poor,76.5,4.44,2.05,40.6,84.8,0.9,23.9,171.7,313.9,1824.0,3546,90,147,None,None,0,Low
HEMM-B001,Dozer,2023-03-22,Morning,10,Good,101.4,4.29,6.53,35.2,60.4,0.86,24.8,192.1,324.1,1805.0,7691,45,1,Tyres,Tyre Burst,1,Critical
HEMM-SC01,Scraper,2022-03-13,Night,9,Good,92.1,4.45,2.08,27.1,80.1,0.91,25.2,163.0,318.9,1838.0,2370,49,82,None,None,0,Low
HEMM-G001,Grader,2022-08-07,Morning,15,Fair,84.7,4.04,1.76,28.9,85.7,0.88,25.7,169.0,352.2,1719.0,9100,95,161,None,None,0,Medium
HEMM-L002,Wheel Loader,2021-01-17,Night,18,Good,80.9,4.08,1.97,42.8,78.1,0.8,24.8,171.8,308.8,1657.0,5105,89,63,None,None,0,Low
HEMM-D005,Dumper,2022-06-26,Morning,4,Fair,83.5,4.35,1.67,34.9,80.9,0.87,24.6,199.7,312.4,1694.0,9264,24,110,None,None,0,Medium
HEMM-E002,Excavator,2022-12-04,Morning,9,Fair,91.8,4.25,1.71,40.9,79.8,0.87,23.9,164.8,347.3,1964.0,8480,67,43,None,None,0,Medium
HEMM-D002,Dumper,2021-07-09,Night,14,Good,83.0,4.85,2.19,36.2,85.6,0.85,24.6,175.1,325.2,1671.0,4733,10,46,None,None,0,Low
HEMM-D005,Dumper,2022-06-21,Morning,15,Fair,79.8,4.07,2.67,42.4,82.0,0.77,25.2,203.7,340.3,1756.0,9238,95,112,None,None,0,Medium
HEMM-D004,Dumper,2021-06-04,Night,5,Fair,97.7,3.89,1.55,39.1,85.4,0.81,23.5,179.8,307.7,1674.0,9138,9,141,None,None,0,Medium
HEMM-D005,Dumper,2023-05-31,Morning,2,Good,81.9,4.33,1.67,35.3,72.0,1.0,24.8,177.6,301.8,1742.0,5250,51,91,None,None,0,Low
HEMM-E002,Excavator,2022-05-27,Night,4,Poor,91.0,4.54,2.3,29.7,84.2,0.94,24.2,170.0,325.6,1526.0,5994,104,142,None,None,0,Low
HEMM-DR01,Drill Rig,2021-11-13,Morning,6,Fair,99.8,3.58,6.89,38.7,85.1,0.83,24.5,162.7,344.8,1564.0,3100,117,5,Transmission,Transmission Failure,1,Critical
HEMM-E003,Excavator,2022-07-01,Morning,4,Good,69.4,4.83,1.55,40.6,87.8,0.87,23.6,169.7,323.4,1809.0,6467,116,105,None,None,0,Low
HEMM-E003,Excavator,2022-02-13,Afternoon,12,Good,90.3,4.42,2.23,40.5,85.1,0.96,24.8,174.3,306.4,1874.0,5200,110,118,None,None,0,Low
HEMM-E002,Excavator,2023-03-28,Afternoon,9,Fair,86.9,4.39,2.38,36.7,87.2,0.84,23.6,176.5,320.4,1968.0,1337,103,174,None,None,0,Low
HEMM-L002,Wheel Loader,2023-03-30,Night,18,Good,83.1,4.83,2.36,38.5,78.5,0.98,24.6,165.2,342.9,1834.0,5625,8,62,None,None,0,Low
HEMM-B001,Dozer,2022-01-01,Night,9,Poor,81.7,4.89,2.03,35.6,83.6,0.83,24.9,171.4,321.4,1752.0,826,18,39,None,None,0,Low
HEMM-B003,Dozer,2023-06-13,Night,17,Poor,98.1,4.48,2.03,33.3,78.9,0.9,23.4,211.7,323.6,1543.0,2094,54,159,None,None,0,Low
HEMM-D002,Dumper,2023-06-13,Morning,17,Poor,81.9,4.51,1.95,46.5,84.1,0.9,23.9,173.2,286.4,1739.0,9021,92,136,None,None,0,Medium
HEMM-E002,Excavator,2023-01-16,Afternoon,3,Poor,87.2,4.05,2.98,38.6,82.4,0.92,24.9,182.2,328.8,1825.0,11082,47,151,None,None,0,Medium
HEMM-D004,Dumper,2022-09-08,Night,10,Fair,75.9,4.25,1.8,40.1,80.4,0.83,24.0,172.7,288.3,1942.0,11126,57,82,None,None,0,Medium
HEMM-B002,Dozer,2021-09-18,Morning,14,Poor,93.6,4.27,2.34,26.4,81.1,0.84,24.8,176.6,353.4,1774.0,11094,53,54,None,None,0,Medium
HEMM-E001,Excavator,2022-09-09,Afternoon,18,Fair,73.0,3.42,1.98,36.8,84.8,0.9,24.0,185.2,304.0,1784.0,206,43,133,None,None,0,High
HEMM-B003,Dozer,2023-08-11,Afternoon,15,Poor,105.6,4.52,2.01,37.9,82.8,0.8,24.4,205.7,297.9,1939.0,11269,32,142,None,None,0,High
HEMM-E001,Excavator,2021-06-23,Afternoon,17,Poor,63.7,5.0,1.17,36.3,80.5,0.97,24.4,185.3,336.7,1667.0,11076,86,153,None,None,0,Medium
HEMM-E003,Excavator,2022-09-28,Morning,7,Good,94.8,3.63,1.69,34.9,92.3,0.83,24.6,189.6,323.5,1972.0,2614,8,64,None,None,0,Low
HEMM-L001,Wheel Loader,2021-05-30,Afternoon,14,Good,88.5,4.83,1.62,39.2,83.0,0.85,24.0,186.2,331.9,1769.0,10518,78,36,None,None,0,Medium
HEMM-G002,Grader,2023-10-10,Afternoon,8,Poor,95.9,3.72,6.38,42.4,84.1,0.91,24.6,190.1,309.9,1401.0,2617,88,1,Transmission,Transmission Failure,1,Critical
HEMM-E003,Excavator,2021-12-27,Night,17,Poor,84.2,3.8,1.78,42.9,81.9,0.95,24.3,179.4,326.2,1629.0,7811,11,54,None,None,0,Low
HEMM-D004,Dumper,2023-07-24,Morning,15,Poor,80.0,4.33,1.48,38.5,75.5,0.89,24.8,190.3,329.5,1826.0,11137,72,41,None,None,0,Medium
HEMM-DR02,Drill Rig,2023-10-31,Afternoon,18,Good,92.9,4.46,2.92,43.9,83.0,0.85,24.3,194.5,327.4,1788.0,7505,119,80,None,None,0,Low
HEMM-L001,Wheel Loader,2023-07-11,Afternoon,8,Poor,86.2,4.41,2.33,37.4,85.0,0.99,25.3,185.2,317.6,1795.0,10647,40,65,None,None,0,Medium
HEMM-E003,Excavator,2022-07-17,Afternoon,3,Good,76.0,4.01,2.06,39.2,82.9,0.99,24.7,169.5,277.6,1765.0,11890,41,69,None,None,0,Medium
HEMM-B003,Dozer,2021-06-15,Morning,5,Poor,84.7,5.21,7.64,47.1,48.7,0.95,24.2,169.1,338.6,1624.0,3988,54,3,Tyres,Tyre Burst,1,Critical
HEMM-DR01,Drill Rig,2023-04-15,Afternoon,18,Good,94.2,4.77,2.4,33.7,82.2,0.99,24.8,192.9,336.1,1893.0,7833,58,54,None,None,0,Low
HEMM-DR01,Drill Rig,2023-03-09,Night,1,Fair,87.1,4.79,1.89,38.6,80.8,0.9,18.8,160.5,314.4,1836.0,9632,53,5,Electrical,Electrical Fault,1,Critical
HEMM-G002,Grader,2023-05-09,Night,18,Good,80.3,4.95,1.97,35.7,85.5,0.96,24.5,175.4,311.3,1769.0,10083,119,127,None,None,0,Medium
HEMM-B001,Dozer,2023-06-12,Afternoon,1,Poor,85.6,4.91,1.17,31.6,87.3,0.88,24.7,192.3,336.7,1535.0,6571,48,137,None,None,0,Low
HEMM-G002,Grader,2021-12-05,Afternoon,5,Good,90.8,4.53,2.43,35.4,87.6,0.87,25.0,183.1,286.4,1624.0,10395,73,162,None,None,0,Medium
HEMM-D001,Dumper,2021-06-21,Night,14,Fair,70.1,4.38,2.18,41.7,75.6,0.98,24.8,170.5,314.5,1856.0,2423,115,68,None,None,0,Low
HEMM-B001,Dozer,2023-02-16,Afternoon,7,Fair,72.7,5.42,1.73,43.8,88.5,0.88,24.2,174.7,307.5,1744.0,7649,46,32,None,None,0,Low
HEMM-G002,Grader,2022-07-24,Afternoon,9,Good,88.7,4.7,1.5,40.9,92.0,0.88,24.7,181.1,285.8,1817.0,1541,65,32,None,None,0,Low
HEMM-D002,Dumper,2022-12-18,Morning,3,Good,85.0,4.28,2.25,39.0,75.9,0.9,24.1,181.6,312.7,1858.0,10878,10,58,None,None,0,Medium
HEMM-E002,Excavator,2021-02-11,Night,5,Fair,87.3,4.63,2.26,48.1,81.3,0.84,24.1,188.8,301.0,1716.0,4108,21,89,None,None,0,Low
HEMM-E002,Excavator,2023-08-11,Night,9,Poor,84.9,4.52,2.41,38.8,85.5,0.92,25.1,181.3,323.1,1973.0,6243,26,109,None,None,0,Low
HEMM-D004,Dumper,2021-12-02,Afternoon,4,Fair,92.5,4.67,2.16,41.6,84.0,0.92,24.9,193.8,333.0,1783.0,9681,8,136,None,None,0,Medium
HEMM-G002,Grader,2023-03-24,Night,7,Poor,86.2,4.59,1.94,33.9,85.4,0.8,24.4,174.1,300.2,1815.0,1445,80,127,None,None,0,Low
HEMM-E003,Excavator,2021-07-28,Night,10,Good,90.2,5.37,1.88,39.1,83.0,0.99,25.3,192.1,291.2,1818.0,11410,81,97,None,None,0,Medium
HEMM-D002,Dumper,2022-12-13,Night,14,Good,88.3,4.93,1.59,38.7,79.2,0.84,24.3,181.3,327.3,1747.0,11038,52,36,None,None,0,Medium
HEMM-B003,Dozer,2021-01-26,Afternoon,16,Fair,94.1,4.32,1.95,31.9,82.4,0.96,25.1,188.3,310.1,1728.0,1929,60,56,None,None,0,Low
HEMM-DR02,Drill Rig,2021-11-10,Afternoon,6,Fair,90.8,3.76,1.77,43.8,78.3,0.94,24.7,177.1,330.0,1972.0,8748,88,56,None,None,0,Medium
HEMM-SC01,Scraper,2023-09-18,Afternoon,14,Fair,87.7,4.68,2.23,40.2,84.6,0.78,25.2,192.5,329.8,1697.0,9907,39,46,None,None,0,Medium
HEMM-D003,Dumper,2022-07-26,Afternoon,8,Poor,84.6,3.93,2.24,30.6,83.3,0.79,23.8,191.5,290.9,1997.0,7813,77,93,None,None,0,Low
HEMM-B003,Dozer,2021-02-28,Afternoon,11,Good,82.8,4.49,1.93,34.6,91.9,0.82,24.3,187.9,328.5,1703.0,3179,67,174,None,None,0,Low
HEMM-B001,Dozer,2022-11-29,Afternoon,20,Fair,84.6,4.57,1.64,37.9,80.5,0.8,25.1,173.4,340.5,1809.0,11688,117,106,None,None,0,Medium
HEMM-L002,Wheel Loader,2022-01-27,Morning,8,Fair,83.6,4.21,2.08,32.7,86.0,0.8,24.8,194.0,338.5,1806.0,11997,57,143,None,None,0,Medium
HEMM-E003,Excavator,2023-09-03,Night,16,Good,79.8,3.69,6.28,36.3,91.7,0.92,25.6,191.7,318.0,1725.0,7542,106,3,Transmission,Transmission Failure,1,Critical
HEMM-E003,Excavator,2022-09-20,Night,19,Poor,76.7,4.29,2.25,43.6,93.9,0.93,24.5,180.4,322.4,1861.0,6246,65,122,None,None,0,Low
HEMM-DR01,Drill Rig,2022-11-09,Afternoon,15,Fair,76.8,3.96,1.85,36.3,83.4,0.99,25.1,177.3,347.7,1876.0,4638,44,155,None,None,0,Low
HEMM-E002,Excavator,2022-10-09,Morning,18,Good,86.8,4.92,2.67,35.7,86.3,0.98,24.5,163.7,308.5,1880.0,11507,28,41,None,None,0,Medium
HEMM-L001,Wheel Loader,2022-07-21,Night,19,Fair,86.4,4.23,1.09,35.6,84.5,0.94,25.3,164.6,292.3,1944.0,8795,81,31,None,None,0,Medium
HEMM-E002,Excavator,2022-08-30,Morning,12,Good,87.6,4.38,1.34,37.7,81.4,0.88,25.0,191.5,285.2,1764.0,3139,43,57,None,None,0,Low
HEMM-D005,Dumper,2022-07-16,Morning,2,Poor,76.0,4.82,1.5,43.5,79.2,0.78,24.5,184.8,321.5,1672.0,9266,42,39,None,None,0,Medium
HEMM-L001,Wheel Loader,2021-07-30,Morning,19,Fair,77.9,4.67,2.88,31.7,76.8,0.9,23.7,185.0,276.9,1871.0,4858,65,85,None,None,0,Low
HEMM-E001,Excavator,2021-04-16,Afternoon,16,Good,92.8,4.91,2.1,36.7,81.2,0.82,24.5,173.1,317.4,1697.0,2069,110,88,None,None,0,Low
HEMM-D003,Dumper,2021-04-20,Morning,5,Good,85.6,3.7,2.37,39.7,86.0,0.87,23.1,171.3,328.1,1706.0,9421,43,148,None,None,0,Medium
HEMM-D004,Dumper,2023-05-03,Night,20,Poor,90.2,4.34,1.83,34.4,83.9,0.81,24.4,179.7,333.4,1748.0,10332,33,76,None,None,0,Medium
HEMM-DR02,Drill Rig,2022-09-01,Night,14,Poor,81.4,4.53,6.03,40.2,77.7,0.91,24.8,196.3,297.1,2012.0,5203,77,1,Brakes,Brake Failure,1,Critical
HEMM-E002,Excavator,2022-06-26,Night,3,Good,79.0,4.63,2.17,46.1,83.8,0.97,23.7,170.7,340.9,1857.0,2773,35,111,None,None,0,Low
HEMM-E001,Excavator,2021-01-06,Afternoon,15,Fair,82.1,4.8,1.87,42.7,85.9,0.83,23.8,193.4,351.7,1598.0,11494,81,122,None,None,0,Medium
HEMM-E003,Excavator,2022-08-14,Night,10,Fair,93.6,3.88,1.88,31.5,79.6,0.77,20.7,190.1,306.2,2025.0,11717,115,3,Electrical,Electrical Fault,1,Critical
HEMM-E002,Excavator,2023-05-21,Morning,18,Good,72.0,4.57,1.03,35.3,88.5,0.93,24.7,193.2,321.7,1892.0,3883,87,146,None,None,0,Low
HEMM-D005,Dumper,2021-05-27,Morning,6,Poor,83.7,4.4,2.16,37.1,84.2,0.78,23.7,179.0,300.2,1690.0,5239,81,64,None,None,0,Low
HEMM-B002,Dozer,2023-06-19,Morning,15,Poor,78.4,4.57,1.71,45.8,77.8,0.96,24.5,174.6,330.3,1895.0,11483,43,71,None,None,0,Medium
HEMM-B001,Dozer,2023-10-22,Night,16,Poor,103.3,4.44,2.32,54.0,72.9,0.78,25.8,184.1,331.6,1916.0,7372,15,6,Fuel System,Fuel System Failure,1,Critical
HEMM-B001,Dozer,2021-02-22,Morning,8,Poor,87.5,5.1,1.66,32.7,84.8,0.92,24.7,185.9,333.6,1776.0,11247,112,98,None,None,0,Medium
HEMM-D001,Dumper,2022-07-06,Night,2,Poor,76.0,4.71,1.71,36.2,83.8,0.77,24.5,178.5,339.3,2021.0,3070,65,167,None,None,0,Low
HEMM-B001,Dozer,2022-01-07,Night,14,Fair,90.9,3.96,2.27,30.3,79.5,0.86,25.4,190.4,309.6,1635.0,10600,109,61,None,None,0,Medium
HEMM-L001,Wheel Loader,2022-12-14,Afternoon,11,Good,93.4,4.35,1.92,35.1,77.9,0.81,24.2,178.0,304.8,1803.0,5460,90,34,None,None,0,Low
HEMM-B003,Dozer,2023-04-24,Night,16,Fair,86.6,4.26,2.25,30.2,77.6,0.86,24.9,165.0,293.4,1799.0,4922,89,145,None,None,0,Low
HEMM-SC01,Scraper,2021-03-17,Afternoon,3,Fair,135.4,4.54,1.73,38.9,84.5,0.59,24.4,171.0,374.4,1924.0,5353,37,6,Engine,Engine Overheat,1,Critical
HEMM-SC01,Scraper,2023-08-05,Afternoon,2,Fair,91.9,4.81,2.31,32.2,81.1,0.95,24.3,183.0,340.0,1676.0,3273,71,171,None,None,0,Low
HEMM-L001,Wheel Loader,2023-06-25,Morning,7,Good,85.2,4.38,1.84,32.2,75.8,0.84,24.5,163.9,309.0,1881.0,4575,75,84,None,None,0,Low
HEMM-DR02,Drill Rig,2023-09-20,Morning,1,Good,88.6,4.29,2.68,47.5,82.1,0.85,23.3,201.9,333.6,1837.0,10522,82,163,None,None,0,Medium
HEMM-B002,Dozer,2021-01-29,Night,14,Good,101.0,4.36,1.82,35.3,85.9,0.76,24.3,174.6,321.7,1855.0,1727,33,39,None,None,0,High
HEMM-D004,Dumper,2021-11-12,Afternoon,10,Fair,83.2,4.58,2.99,36.5,79.4,0.88,24.8,169.3,313.9,1739.0,8537,95,54,None,None,0,Medium
HEMM-L001,Wheel Loader,2023-08-26,Morning,15,Fair,83.5,4.46,1.97,35.9,83.2,0.9,24.9,175.4,286.9,1926.0,9231,23,60,None,None,0,Medium
HEMM-L002,Wheel Loader,2021-10-07,Morning,9,Poor,79.5,4.47,1.77,35.9,80.5,0.78,24.1,176.1,323.4,1816.0,6998,48,46,None,None,0,Low
HEMM-D001,Dumper,2022-08-03,Night,10,Poor,85.0,4.21,1.72,40.5,77.9,0.96,24.9,186.7,354.3,1694.0,9816,79,36,None,None,0,Medium
HEMM-D005,Dumper,2023-07-04,Night,16,Poor,69.4,5.58,1.84,32.2,81.1,0.95,24.0,197.5,335.9,1846.0,5854,47,42,None,None,0,Low
HEMM-G002,Grader,2023-07-22,Afternoon,7,Poor,75.5,4.49,2.23,38.6,78.1,0.86,23.9,179.6,343.4,1714.0,11627,35,71,None,None,0,Medium
HEMM-DR01,Drill Rig,2021-03-31,Afternoon,16,Fair,87.3,4.58,2.46,32.4,75.6,0.96,24.3,201.6,307.9,1874.0,11754,108,108,None,None,0,Medium
HEMM-D005,Dumper,2023-10-12,Morning,5,Fair,87.4,4.45,2.39,37.8,83.0,0.76,25.0,185.8,271.3,1819.0,8429,80,139,None,None,0,Medium
HEMM-DR02,Drill Rig,2021-07-24,Night,15,Good,76.4,3.79,2.5,38.9,81.5,0.77,24.1,189.5,320.7,1732.0,451,97,102,None,None,0,Low
HEMM-D005,Dumper,2021-06-03,Afternoon,9,Poor,90.7,4.0,1.8,39.4,78.3,0.94,24.7,201.7,307.1,1893.0,5746,84,31,None,None,0,Low
HEMM-D003,Dumper,2022-11-04,Night,18,Poor,96.6,5.22,2.3,41.0,78.6,0.83,24.7,169.6,280.7,2006.0,6426,45,51,None,None,0,Low
HEMM-L001,Wheel Loader,2021-03-15,Night,3,Poor,76.2,4.63,1.93,37.8,90.2,0.75,24.9,176.4,326.0,1634.0,4046,85,178,None,None,0,Low
HEMM-E003,Excavator,2021-07-05,Afternoon,4,Good,83.0,5.14,2.2,41.7,84.7,0.79,25.1,183.3,320.6,1791.0,10583,95,56,None,None,0,Medium
HEMM-B002,Dozer,2021-03-01,Morning,11,Fair,84.3,4.49,2.21,35.9,78.2,0.85,24.9,188.5,302.8,1824.0,1119,42,52,None,None,0,Low
HEMM-D005,Dumper,2022-05-16,Night,14,Good,91.0,3.28,7.0,41.4,81.4,0.75,23.9,188.3,301.5,1544.0,9472,92,1,Transmission,Transmission Failure,1,Critical
HEMM-E003,Excavator,2023-10-17,Night,5,Poor,81.6,4.11,2.59,46.2,92.5,0.96,24.7,183.2,335.5,1912.0,4004,64,173,None,None,0,Low
HEMM-B001,Dozer,2021-01-20,Afternoon,10,Good,81.4,4.17,1.67,27.5,84.4,0.9,20.5,165.8,284.8,1647.0,11301,74,5,Electrical,Electrical Fault,1,Critical
HEMM-DR01,Drill Rig,2022-05-28,Afternoon,10,Fair,105.4,4.89,1.9,63.0,82.3,0.78,24.9,170.1,319.6,1733.0,3463,54,6,Fuel System,Fuel System Failure,1,Critical
HEMM-B002,Dozer,2022-08-28,Morning,13,Poor,93.7,3.93,2.18,33.9,84.2,0.88,24.3,171.0,313.9,1712.0,4697,6,92,None,None,0,Low
HEMM-D002,Dumper,2023-10-15,Afternoon,8,Fair,91.3,4.69,1.45,38.9,84.3,0.86,25.1,185.8,315.5,1704.0,10146,107,107,None,None,0,Medium
HEMM-E002,Excavator,2022-05-29,Night,5,Poor,91.8,4.85,2.14,38.2,84.0,0.9,24.1,196.8,334.7,1742.0,10493,17,93,None,None,0,Medium
HEMM-B002,Dozer,2023-06-22,Morning,19,Good,85.5,4.71,1.79,42.2,70.5,0.78,24.6,176.2,262.6,1784.0,6177,98,4,Fuel System,Fuel System Failure,1,Critical
HEMM-DR01,Drill Rig,2021-12-26,Morning,5,Fair,81.3,4.36,2.29,37.1,80.7,0.82,24.5,170.5,300.9,1693.0,9037,117,99,None,None,0,Medium
HEMM-B001,Dozer,2021-12-03,Afternoon,16,Fair,69.5,4.49,1.7,25.9,85.5,0.84,24.6,180.9,334.0,1810.0,5035,100,149,None,None,0,Low
HEMM-DR02,Drill Rig,2021-06-04,Morning,8,Poor,92.1,4.13,1.56,40.8,76.7,0.99,25.7,163.8,343.3,1727.0,11280,97,100,None,None,0,Medium
HEMM-SC01,Scraper,2023-01-20,Morning,13,Poor,78.5,4.69,2.77,43.1,72.9,0.95,22.1,189.4,331.0,1756.0,428,38,5,Electrical,Electrical Fault,1,Critical
HEMM-G002,Grader,2023-01-31,Morning,8,Poor,81.4,5.3,2.71,32.8,79.2,0.88,24.5,178.2,347.5,1735.0,7924,8,49,None,None,0,Low
HEMM-SC01,Scraper,2022-11-03,Night,8,Poor,78.6,5.13,2.11,39.8,78.7,0.79,25.3,183.8,356.6,2002.0,10811,13,160,None,None,0,Medium
