Device_ID,Device_Type,Location,Operating_System,Date,Shift,Device_Age_Years,CPU_Usage_pct,RAM_Usage_pct,Disk_Usage_pct,Temperature_C,Network_Latency_ms,Power_Consumption_W,Battery_Backup_pct,Error_Logs_Count,Fan_Speed_RPM,Voltage_V,Uptime_Hours,Last_Maintenance_Days,Health_Score,Days_to_Next_Failure,Failure_Component,Failure_Type,Failure,Maintenance_Priority
IT-PRT-002,Printer,Office,N/A,2023-05-04,Afternoon,2.0,70.5,54.6,97.2,57.4,5.7,119.1,93.5,29,1756.0,226.8,437,54,47.1,0,CPU/RAM,Server Crash,1,Critical
IT-STR-001,Storage Device,Data Center,N/A,2022-08-28,Morning,7.9,17.9,30.6,88.1,32.0,3.24,130.3,86.5,2,2071.0,214.9,6566,205,83.7,74,None,None,0,Medium
IT-SWT-003,Switch,Network Room,HP ProCurve,2021-09-21,Morning,7.0,39.8,32.8,38.0,45.2,4.78,95.4,97.3,0,2608.0,220.5,6473,215,87.5,173,None,None,0,Medium
IT-RTR-001,Router,Network Room,Cisco IOS,2023-01-07,Afternoon,2.6,19.2,58.5,50.9,35.8,3.08,73.2,96.9,1,2589.0,220.2,6369,95,98.0,152,None,None,0,Low
IT-FRW-001,Firewall,Network Room,Cisco ASA,2023-09-03,Night,7.9,59.4,26.0,41.1,44.5,2.27,102.8,100.0,18,2341.0,216.4,4025,236,58.4,5,Motherboard,Hardware Failure,1,Critical
IT-PRT-002,Printer,Office,N/A,2021-01-09,Night,5.3,8.7,16.5,78.8,39.0,19.63,111.7,88.1,1,2065.0,224.6,5327,212,86.3,96,None,None,0,Medium
IT-STR-001,Storage Device,Data Center,N/A,2021-04-08,Afternoon,0.9,18.6,28.1,56.7,38.8,10.82,100.2,100.0,2,1787.0,221.8,8477,118,94.2,172,None,None,0,Low
IT-RTR-001,Router,Network Room,N/A,2023-06-19,Morning,6.3,28.2,36.1,44.0,28.2,5.17,98.3,97.4,1,2580.0,215.8,3861,97,97.8,59,None,None,0,Low
IT-SWT-001,Switch,Network Room,HP ProCurve,2022-07-19,Night,1.0,50.8,33.7,38.7,39.1,2.64,72.0,100.0,1,2401.0,221.6,3347,287,78.8,74,None,None,0,Medium
IT-FRW-001,Firewall,Network Room,pfSense,2024-01-01,Morning,5.6,42.0,51.7,41.2,32.6,3.01,90.4,98.7,0,2591.0,220.0,2159,71,100.0,68,None,None,0,Low
IT-SRV-002,Server,Data Center,Red Hat Linux,2023-11-17,Night,1.7,66.7,59.0,46.4,47.7,3.12,337.4,100.0,1,2829.0,217.8,3893,315,76.0,71,None,None,0,Medium
IT-SRV-002,Server,Data Center,Red Hat Linux,2022-12-03,Night,1.9,53.2,52.2,29.5,49.3,5.25,290.3,81.4,0,2947.0,222.9,3042,57,100.0,67,None,None,0,Low
IT-WRK-003,Workstation,Office,Windows 11,2021-01-26,Morning,7.4,69.1,46.4,50.0,34.8,13.89,209.4,89.3,2,2324.0,215.1,1688,121,93.9,175,None,None,0,Low
IT-STR-002,Storage Device,Data Center,N/A,2021-06-14,Morning,6.3,17.5,30.7,78.9,38.8,11.31,85.6,89.0,2,1650.0,215.9,6213,130,93.0,110,None,None,0,Low
IT-STR-001,Storage Device,Data Center,N/A,2023-03-24,Morning,7.6,21.2,18.8,72.2,33.1,10.21,114.4,98.1,2,1862.0,220.2,2274,6,97.0,103,None,None,0,Low
IT-SWT-002,Switch,Network Room,HP ProCurve,2022-08-18,Morning,3.7,38.7,36.0,44.3,32.1,2.56,83.6,98.5,0,2844.0,218.6,1284,21,100.0,120,None,None,0,Low
IT-FRW-002,Firewall,Network Room,pfSense,2022-10-12,Afternoon,3.0,32.7,45.6,6.1,42.4,2.75,58.8,97.2,1,2675.0,221.4,666,193,88.2,99,None,None,0,Medium
IT-WRK-004,Workstation,Office,Ubuntu 20.04,2021-11-05,Night,0.6,33.8,59.3,45.8,43.0,10.96,154.3,85.1,3,2295.0,229.2,4831,205,84.0,137,None,None,0,Medium
IT-RTR-003,Router,Network Room,Juniper JunOS,2021-12-23,Night,7.9,30.4,35.7,38.1,35.4,2.08,64.3,100.0,0,2373.0,218.6,3576,124,96.6,96,None,None,0,Low
IT-STR-001,Storage Device,Data Center,N/A,2021-07-12,Afternoon,4.7,19.7,24.9,68.1,31.6,8.8,85.4,93.1,2,1781.0,224.8,570,104,95.6,63,None,None,0,Low
IT-RTR-001,Router,Network Room,Juniper JunOS,2022-09-08,Morning,1.9,30.8,34.4,40.6,37.3,2.71,74.8,100.0,2,2509.0,223.5,7155,77,97.0,30,None,None,0,Low
IT-SRV-002,Server,Data Center,Red Hat Linux,2023-10-28,Afternoon,1.1,53.0,86.0,76.9,46.8,1.5,353.2,88.7,2,2990.0,182.0,3922,175,86.1,1,Power Supply,Power Failure,1,Critical
IT-STR-001,Storage Device,Data Center,N/A,2023-09-20,Morning,3.8,9.5,32.2,94.7,39.8,8.4,129.4,97.6,0,2108.0,215.3,3404,89,94.2,64,None,None,0,High
IT-RTR-003,Router,Network Room,Juniper JunOS,2021-12-20,Night,1.8,14.0,24.7,33.4,41.0,4.82,106.6,100.0,1,2677.0,216.5,8551,345,73.0,159,None,None,0,Medium
IT-WRK-004,Workstation,Office,Windows 10,2021-06-08,Morning,4.4,28.5,72.9,66.2,39.0,9.37,147.1,93.8,4,2043.0,212.8,6997,203,82.7,164,None,None,0,Medium
IT-RTR-003,Router,Network Room,N/A,2022-05-29,Afternoon,3.0,21.3,33.7,34.4,39.9,3.77,84.1,94.8,0,2535.0,219.3,3198,50,100.0,37,None,None,0,Low
IT-UPS-003,UPS,Power Room,N/A,2021-05-08,Afternoon,7.4,4.7,24.7,21.6,27.9,0.28,654.2,84.8,3,1784.0,222.1,4898,95,95.0,98,None,None,0,Low
IT-FRW-002,Firewall,Network Room,pfSense,2022-06-07,Morning,4.5,37.1,42.1,65.5,46.2,3.02,92.3,97.7,25,2500.0,213.3,3315,187,52.8,6,Hard Disk,Disk Failure,1,Critical
IT-WRK-001,Workstation,Office,Windows 11,2021-04-25,Morning,2.2,54.9,51.2,40.3,35.2,14.88,125.7,96.3,4,2219.0,215.2,1383,195,83.5,34,None,None,0,Medium
IT-SWT-003,Switch,Network Room,N/A,2023-02-08,Morning,1.7,40.3,33.0,16.0,39.4,5.26,56.2,96.2,0,2372.0,222.7,1313,12,100.0,37,None,None,0,Low
IT-RTR-003,Router,Network Room,Juniper JunOS,2022-12-05,Night,6.2,32.4,35.7,31.2,37.2,2.38,73.5,98.7,4,2473.0,223.7,1254,331,69.9,30,None,None,0,Medium
IT-FRW-002,Firewall,Network Room,pfSense,2023-06-12,Morning,6.8,14.4,27.6,20.2,31.5,3.1,80.4,100.0,1,2473.0,216.4,6158,255,82.0,138,None,None,0,Medium
IT-UPS-002,UPS,Power Room,N/A,2022-06-23,Afternoon,6.6,17.4,26.2,16.5,37.5,2.46,454.7,34.6,1,2089.0,204.3,4577,272,80.3,0,Battery,UPS Battery Failure,1,Critical
IT-SWT-001,Switch,Network Room,N/A,2022-09-21,Night,2.3,30.0,51.2,38.5,36.8,4.2,127.3,99.6,1,2439.0,217.8,7346,341,73.4,143,None,None,0,Medium
IT-STR-002,Storage Device,Data Center,N/A,2022-06-21,Morning,1.4,25.0,45.9,73.9,30.2,12.28,76.7,97.6,1,1840.0,218.0,390,145,93.0,156,None,None,0,Low
IT-PRT-001,Printer,Office,N/A,2023-06-24,Afternoon,4.3,14.0,33.6,88.2,42.0,10.72,106.5,91.0,1,2008.0,217.2,3953,310,74.6,166,None,None,0,Medium
IT-SRV-004,Server,Data Center,Windows Server 2022,2022-08-10,Afternoon,1.0,68.3,51.3,30.5,38.5,5.66,341.7,97.7,3,3437.0,228.2,4683,233,81.2,155,None,None,0,Medium
IT-STR-002,Storage Device,Data Center,N/A,2021-06-24,Night,0.9,29.3,43.3,73.8,31.9,10.31,95.5,100.0,2,1761.0,215.3,1469,325,73.5,63,None,None,0,Medium
IT-RTR-002,Router,Network Room,N/A,2023-05-18,Night,4.9,38.8,41.7,39.5,40.8,4.03,70.9,96.5,0,2438.0,219.8,390,11,100.0,61,None,None,0,Low
IT-RTR-002,Router,Network Room,N/A,2022-02-22,Night,7.9,26.8,44.3,50.5,27.0,3.37,44.7,98.8,1,2525.0,215.9,308,221,85.4,103,None,None,0,Medium
IT-SRV-005,Server,Data Center,Red Hat Linux,2022-08-11,Morning,1.3,46.9,69.7,66.8,34.1,6.54,323.5,97.7,1,3221.0,216.3,3126,215,86.0,128,None,None,0,Medium
IT-SRV-003,Server,Data Center,Ubuntu 22.04,2022-07-05,Night,2.4,53.7,77.5,34.2,78.5,7.01,287.4,92.5,1,2425.0,213.6,2693,141,74.6,1,Cooling System,Overheating,1,Critical
IT-WRK-002,Workstation,Office,Windows 11,2022-03-22,Night,6.7,40.1,43.5,60.7,31.4,4.7,142.5,89.1,5,2359.0,212.7,4233,257,75.8,94,None,None,0,Medium
IT-WRK-001,Workstation,Office,Windows 10,2022-08-04,Morning,3.0,25.6,60.5,78.4,43.9,13.56,162.9,92.7,7,2057.0,222.7,2209,258,72.7,88,None,None,0,Medium
IT-STR-002,Storage Device,Data Center,N/A,2023-11-23,Morning,4.7,17.0,38.0,63.0,45.3,9.83,100.5,93.9,3,1587.0,220.7,2468,294,75.1,30,None,None,0,Medium
IT-PRT-002,Printer,Office,N/A,2023-03-30,Night,0.6,18.6,35.8,64.6,34.2,10.02,112.8,11.5,0,1753.0,209.9,1548,218,87.2,0,Battery,UPS Battery Failure,1,Critical
IT-RTR-003,Router,Network Room,Cisco IOS,2022-09-04,Morning,1.6,26.8,53.5,31.0,43.0,3.7,74.1,96.4,4,2441.0,223.1,4324,363,66.7,109,None,None,0,Medium
IT-WRK-004,Workstation,Office,Ubuntu 20.04,2022-01-25,Morning,1.3,62.3,32.9,76.4,47.4,6.47,168.7,100.0,2,2322.0,223.0,511,112,94.8,106,None,None,0,Low
IT-WRK-003,Workstation,Office,Ubuntu 20.04,2021-03-29,Afternoon,7.7,73.0,49.9,78.3,32.0,9.69,183.3,86.0,3,2246.0,220.9,7956,278,75.2,119,None,None,0,Medium
IT-SRV-005,Server,Data Center,Ubuntu 22.04,2021-03-30,Night,5.7,43.3,54.3,55.9,32.7,4.65,361.5,100.0,1,2767.0,217.5,3893,107,96.8,163,None,None,0,Low
IT-PRT-001,Printer,Office,N/A,2023-09-03,Morning,4.7,21.1,21.3,100.0,42.7,6.81,83.1,92.1,10,1964.0,224.4,8585,274,57.2,5,Hard Disk,Disk Failure,1,Critical
IT-SWT-003,Switch,Network Room,Cisco IOS,2022-08-23,Afternoon,4.7,20.1,86.1,22.3,33.8,2.16,91.8,99.5,12,2565.0,223.0,1746,282,60.3,5,RAM,Memory Failure,1,Critical
IT-SRV-002,Server,Data Center,Windows Server 2019,2021-12-26,Night,4.1,18.0,69.5,73.4,41.4,3.96,327.2,82.4,1,2838.0,222.1,7124,279,79.6,169,None,None,0,Medium
IT-STR-001,Storage Device,Data Center,N/A,2023-02-12,Afternoon,7.4,9.3,29.5,83.8,34.1,13.6,76.3,90.0,2,1807.0,224.6,5862,69,97.0,46,None,None,0,Low
IT-SRV-004,Server,Data Center,Red Hat Linux,2021-01-10,Afternoon,2.9,83.6,59.8,53.0,46.1,3.6,321.9,100.0,1,2824.0,218.8,3981,304,70.3,61,None,None,0,Medium
IT-SWT-002,Switch,Network Room,Cisco IOS,2022-07-20,Afternoon,1.5,26.0,53.6,13.7,43.0,3.6,86.4,98.6,0,2395.0,222.4,2224,148,94.2,36,None,None,0,Low
IT-WRK-004,Workstation,Office,Windows 10,2022-06-22,Morning,3.6,28.2,69.1,72.4,40.1,3.19,125.7,94.9,3,2153.0,225.2,2202,136,90.9,107,None,None,0,Low
IT-UPS-002,UPS,Power Room,N/A,2021-07-09,Afternoon,7.2,10.9,18.4,11.7,29.5,0.84,580.5,91.2,1,1991.0,222.1,3843,245,83.0,46,None,None,0,Medium
IT-SWT-002,Switch,Network Room,Cisco IOS,2022-05-10,Night,1.5,21.7,51.5,21.7,32.2,1.99,67.6,97.5,0,2429.0,215.9,1245,182,90.8,173,None,None,0,Medium
IT-FRW-001,Firewall,Network Room,pfSense,2022-12-29,Night,7.8,20.4,51.0,29.0,35.0,4.04,86.1,100.0,3,2540.0,222.1,1158,8,95.5,85,None,None,0,Low
IT-SRV-001,Server,Data Center,Red Hat Linux,2023-07-13,Morning,4.2,50.5,85.1,48.3,42.1,5.01,321.8,98.0,0,3160.0,221.5,151,111,95.9,41,None,None,0,Low
IT-SRV-005,Server,Data Center,Windows Server 2022,2023-06-03,Morning,7.8,28.9,45.3,48.8,39.6,5.97,377.9,91.1,1,2822.0,220.6,7598,148,92.7,35,None,None,0,Low
IT-PRT-002,Printer,Office,N/A,2021-03-08,Afternoon,5.2,26.0,31.5,74.7,28.6,13.39,106.3,93.8,4,1788.0,220.6,4182,292,73.8,130,None,None,0,Medium
IT-WRK-002,Workstation,Office,Ubuntu 20.04,2021-10-06,Afternoon,3.1,34.0,64.7,56.1,33.1,16.33,186.5,89.0,3,2225.0,211.2,2551,354,69.1,38,None,None,0,Medium
IT-STR-001,Storage Device,Data Center,N/A,2023-02-03,Night,5.5,9.6,29.9,73.9,35.8,20.19,90.9,94.9,1,1862.0,216.6,4424,91,98.4,161,None,None,0,Low
IT-SRV-003,Server,Data Center,Red Hat Linux,2023-03-08,Night,5.9,21.6,78.1,73.5,29.2,5.77,272.3,97.6,4,3229.0,224.9,4364,311,71.9,107,None,None,0,Medium
IT-WRK-004,Workstation,Office,Ubuntu 20.04,2021-12-19,Morning,2.4,100.0,83.7,77.6,63.4,10.43,215.3,90.3,2,1474.0,215.8,2932,346,39.2,3,Cooling System,Overheating,1,Critical
IT-SWT-001,Switch,Network Room,Cisco IOS,2023-02-07,Morning,1.7,38.3,37.9,32.1,39.8,4.36,78.5,95.5,0,2564.0,219.2,7696,238,85.2,101,None,None,0,Medium
IT-WRK-002,Workstation,Office,Ubuntu 20.04,2022-10-15,Night,1.8,43.2,77.1,58.1,34.0,14.57,115.8,99.5,4,1682.0,223.3,2411,354,67.6,42,None,None,0,Medium
IT-WRK-004,Workstation,Office,Windows 10,2021-11-11,Afternoon,4.3,73.6,84.2,80.5,36.8,9.47,177.8,97.4,3,2356.0,222.9,6600,170,84.0,138,None,None,0,Low
IT-SWT-003,Switch,Network Room,Cisco IOS,2022-03-18,Night,1.2,45.8,44.6,22.2,38.6,3.59,94.3,96.4,1,2690.0,224.5,4152,198,87.7,70,None,None,0,Medium
IT-PRT-001,Printer,Office,N/A,2023-04-15,Morning,1.1,13.1,32.2,71.5,36.5,1.66,100.6,100.0,0,1892.0,214.0,1075,29,100.0,52,None,None,0,Low
IT-UPS-002,UPS,Power Room,N/A,2022-03-17,Night,3.8,10.5,26.2,13.3,24.9,1.41,550.3,86.4,1,1911.0,216.6,8384,4,98.5,76,None,None,0,Low
IT-FRW-001,Firewall,Network Room,pfSense,2023-05-28,Night,3.8,29.0,41.9,26.7,40.7,1.37,98.1,98.6,2,2600.0,224.3,4638,87,97.0,66,None,None,0,Low
IT-UPS-001,UPS,Power Room,N/A,2021-10-06,Afternoon,4.0,2.3,18.6,8.3,32.9,0.79,581.4,90.0,0,1832.0,235.1,7548,352,73.8,162,None,None,0,Medium
IT-STR-002,Storage Device,Data Center,N/A,2022-09-07,Night,5.1,22.6,29.8,64.7,40.9,9.96,113.1,87.9,1,2132.0,220.1,1707,248,82.7,38,None,None,0,Medium
IT-FRW-002,Firewall,Network Room,Cisco ASA,2023-07-20,Morning,3.1,24.7,50.2,41.9,42.1,2.27,64.7,98.2,0,2309.0,216.7,290,196,89.4,141,None,None,0,Medium
IT-SWT-003,Switch,Network Room,Cisco IOS,2021-05-03,Night,1.4,41.3,39.0,39.7,37.6,4.62,97.7,97.7,2,2404.0,225.5,2094,281,77.9,139,None,None,0,Medium
IT-SRV-001,Server,Data Center,Windows Server 2022,2021-08-20,Morning,1.5,63.6,41.6,42.5,46.6,0.15,423.0,94.4,3,3162.0,222.6,3715,130,91.5,35,None,None,0,Low
IT-SRV-002,Server,Data Center,Windows Server 2019,2021-03-30,Morning,1.9,30.3,69.3,17.0,55.4,5.63,370.5,96.0,4,2772.0,219.6,3485,110,91.6,162,None,None,0,Low
IT-RTR-001,Router,Network Room,Juniper JunOS,2023-08-03,Afternoon,3.1,28.3,53.6,47.6,37.6,3.67,106.5,99.5,2,2476.0,220.4,6108,178,88.2,116,None,None,0,Low
IT-SRV-001,Server,Data Center,Windows Server 2022,2023-07-15,Morning,4.9,21.8,52.6,76.2,31.1,6.33,398.1,88.4,2,3071.0,219.0,773,110,95.0,132,None,None,0,Low
IT-SWT-002,Switch,Network Room,Cisco IOS,2023-01-26,Afternoon,5.8,37.0,47.3,25.2,39.3,3.36,104.4,100.0,1,2655.0,217.4,7814,172,90.3,107,None,None,0,Low
IT-WRK-002,Workstation,Office,Windows 11,2023-10-10,Morning,0.7,3.4,65.9,61.3,32.4,8.3,167.5,74.7,1,2299.0,220.6,1577,170,90.5,57,None,None,0,Low
IT-SRV-001,Server,Data Center,Ubuntu 22.04,2023-05-20,Night,5.7,43.3,60.4,80.9,47.2,5.67,323.3,96.2,1,2959.0,225.6,157,90,98.5,125,None,None,0,Low
IT-STR-001,Storage Device,Data Center,N/A,2022-11-26,Night,7.7,48.6,20.0,69.7,38.0,9.54,92.1,96.2,2,1869.0,223.8,4446,200,86.0,72,None,None,0,Medium
IT-RTR-003,Router,Network Room,Cisco IOS,2022-09-25,Night,1.2,35.1,49.1,39.6,38.9,2.63,70.5,97.2,3,2548.0,214.9,7993,37,95.5,50,None,None,0,Low
IT-SRV-004,Server,Data Center,Ubuntu 22.04,2022-12-06,Afternoon,7.8,47.8,48.9,67.5,35.9,7.01,420.2,82.2,2,3224.0,209.6,4123,28,97.0,63,None,None,0,Low
IT-WRK-004,Workstation,Office,Ubuntu 20.04,2023-03-24,Morning,0.6,9.5,34.3,57.8,42.0,8.3,126.5,66.3,0,2106.0,216.1,5689,161,92.9,78,None,None,0,Low
IT-WRK-002,Workstation,Office,Ubuntu 20.04,2022-01-02,Morning,4.8,32.1,59.5,43.3,35.8,5.25,235.6,98.4,3,2439.0,192.1,475,337,70.8,4,Power Supply,Power Failure,1,Critical
IT-SWT-002,Switch,Network Room,HP ProCurve,2022-12-26,Night,2.4,28.2,40.0,29.6,30.6,3.22,106.6,99.4,2,2473.0,219.7,4017,32,97.0,93,None,None,0,Low
IT-SRV-004,Server,Data Center,Windows Server 2022,2021-06-21,Night,0.5,33.8,78.5,36.6,48.0,8.02,279.6,100.0,2,2963.0,228.6,3259,163,89.7,155,None,None,0,Low
IT-SRV-005,Server,Data Center,Red Hat Linux,2022-04-22,Morning,6.6,14.3,64.0,52.5,38.7,2.27,398.4,92.5,1,2978.0,208.5,7532,144,93.1,136,None,None,0,Low
IT-RTR-002,Router,Network Room,Juniper JunOS,2023-07-04,Morning,4.4,46.8,42.1,34.3,34.8,3.08,77.3,100.0,1,2753.0,224.4,3682,175,90.0,149,None,None,0,Low
IT-RTR-002,Router,Network Room,N/A,2021-07-25,Night,5.9,34.0,39.8,25.3,37.1,3.55,75.1,98.0,0,2734.0,221.2,2962,17,100.0,80,None,None,0,Low
IT-UPS-003,UPS,Power Room,N/A,2021-01-31,Morning,1.8,46.0,65.3,6.7,53.9,1.09,485.7,100.0,22,2031.0,231.0,4176,45,67.0,1,CPU/RAM,Server Crash,1,Critical
IT-UPS-001,UPS,Power Room,N/A,2021-12-23,Afternoon,5.0,9.2,18.2,6.4,26.1,1.15,487.2,79.4,0,2008.0,221.6,7118,93,99.7,150,None,None,0,Low
IT-WRK-001,Workstation,Office,Windows 11,2022-10-19,Morning,1.8,51.4,63.1,61.2,35.7,8.98,149.3,78.3,2,2331.0,215.2,5195,338,72.2,108,None,None,0,Medium
IT-FRW-001,Firewall,Network Room,Cisco ASA,2022-03-20,Night,0.8,55.6,36.5,19.0,33.6,0.41,119.7,95.6,2,2515.0,222.0,5280,334,72.6,90,None,None,0,Medium
IT-SRV-004,Server,Data Center,Red Hat Linux,2022-07-07,Night,6.1,49.4,57.5,64.9,43.2,5.26,345.1,95.8,2,3030.0,217.6,2128,18,97.0,71,None,None,0,Low
IT-SRV-004,Server,Data Center,Windows Server 2022,2022-01-10,Morning,1.8,54.2,82.6,48.9,47.0,4.46,332.7,90.5,2,2901.0,229.3,7081,40,96.0,180,None,None,0,Low
IT-SWT-001,Switch,Network Room,Cisco IOS,2021-06-14,Morning,6.7,36.1,30.1,27.9,34.8,3.22,69.6,98.1,2,2867.0,222.6,395,347,71.3,142,None,None,0,Medium
IT-WRK-001,Workstation,Office,Ubuntu 20.04,2022-07-09,Night,7.8,62.8,42.1,56.3,34.2,6.4,193.5,84.4,2,2331.0,217.8,8603,226,83.4,63,None,None,0,Medium
IT-PRT-002,Printer,Office,N/A,2023-08-10,Night,7.5,16.9,26.3,83.7,40.7,9.26,108.8,93.3,2,1493.0,219.6,7935,126,93.4,161,None,None,0,Low
IT-SRV-004,Server,Data Center,Windows Server 2019,2021-10-04,Morning,1.8,30.0,69.7,68.3,32.7,2.23,368.4,98.5,1,2711.0,227.2,3958,271,80.4,62,None,None,0,Medium
IT-UPS-003,UPS,Power Room,N/A,2022-08-20,Morning,3.4,45.2,46.2,8.8,35.1,0.4,516.6,95.2,19,1846.0,229.8,6018,307,49.8,3,OS/Software,Software Crash,1,Critical
IT-FRW-001,Firewall,Network Room,pfSense,2023-09-15,Afternoon,6.9,36.8,37.9,27.4,39.7,0.97,86.5,94.7,0,2518.0,217.4,2858,176,91.4,125,None,None,0,Low
IT-RTR-002,Router,Network Room,Cisco IOS,2022-07-24,Afternoon,5.1,60.3,18.3,22.4,65.6,3.82,89.3,95.0,0,1578.0,222.8,1764,248,75.7,4,Cooling System,Overheating,1,Critical
IT-STR-002,Storage Device,Data Center,N/A,2022-09-16,Morning,2.6,36.2,30.3,59.4,43.4,16.78,83.6,100.0,3,1759.0,214.2,6072,8,95.5,126,None,None,0,Low
IT-STR-002,Storage Device,Data Center,N/A,2022-07-12,Night,1.5,14.4,37.6,72.6,34.7,8.32,96.7,100.0,4,1831.0,217.0,8506,294,73.6,76,None,None,0,Medium
IT-RTR-002,Router,Network Room,N/A,2021-11-16,Morning,1.3,43.7,33.9,28.7,33.5,5.02,69.2,98.2,0,2439.0,220.8,1814,311,77.9,141,None,None,0,Medium
IT-WRK-003,Workstation,Office,Ubuntu 20.04,2023-03-29,Night,6.1,6.3,81.6,72.7,40.7,10.96,194.3,70.9,1,2017.0,227.1,148,314,75.5,51,None,None,0,Medium
IT-STR-001,Storage Device,Data Center,N/A,2023-01-26,Morning,2.9,41.2,35.1,65.8,35.6,13.5,103.1,79.2,2,1887.0,217.8,505,330,73.0,60,None,None,0,Medium
IT-PRT-002,Printer,Office,N/A,2022-05-15,Night,7.2,30.5,18.2,84.6,36.3,0.1,67.9,82.7,3,1723.0,214.8,3519,118,92.7,174,None,None,0,Low
IT-SRV-002,Server,Data Center,Red Hat Linux,2022-09-25,Morning,6.6,24.0,42.4,48.3,44.7,6.79,329.8,97.3,1,2864.0,223.4,7673,131,94.4,44,None,None,0,Low
IT-STR-001,Storage Device,Data Center,N/A,2021-06-27,Morning,1.9,19.3,31.8,45.3,34.0,11.05,94.6,100.0,1,1638.0,209.2,7259,353,72.2,67,None,None,0,Medium
